#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
3000              4.16576652e+07  4.16733967e+07 -1.40383262e+05  8.32931040e+05  0.00000000e+00 -7.08279255e+05  4.02560555e+05  2.64368625e+06  1.33809993e+09  6.76166324e+05  1.36625640e+03  9.20207268e+04
6000              1.52416653e+07  1.69800127e+07 -1.37691563e+05  1.00533835e+06  0.00000000e+00 -2.60599414e+06  2.14977896e+04  1.10869702e+06  4.73277622e+08  2.35175389e+05  1.34005989e+03  9.38246968e+04
9000              5.01493230e+06  7.06996319e+06 -1.34405092e+05  1.04547265e+06  0.00000000e+00 -2.96609845e+06 -1.26281934e+05  8.89749165e+05  2.44386311e+08  1.18691963e+05  1.30807487e+03  9.61178205e+04
12000             7.93357573e+05  3.00823776e+06 -1.31730219e+05  1.07157629e+06  0.00000000e+00 -3.15472626e+06 -1.82919349e+05  7.54390317e+05  1.22583778e+08  5.81983482e+04  1.28204213e+03  9.80629565e+04
15000            -8.26084243e+05  1.53121888e+06 -1.30771403e+05  1.06845302e+06  0.00000000e+00 -3.29498474e+06 -2.30546292e+05  6.59292196e+05  8.37279233e+07  3.94632947e+04  1.27271061e+03  9.87812229e+04
18000            -1.72494409e+06  7.21818104e+05 -1.30037412e+05  1.06642755e+06  0.00000000e+00 -3.38315233e+06 -2.76587561e+05  6.15535977e+05  6.44129796e+07  3.02883681e+04  1.26556717e+03  9.93387294e+04
21000            -2.43887898e+06  1.06473507e+05 -1.29487238e+05  1.05670841e+06  0.00000000e+00 -3.47257366e+06 -3.21177669e+05  5.70654790e+05  5.30030682e+07  2.48435979e+04  1.26021268e+03  9.97607147e+04
24000            -3.01711229e+06 -4.07813934e+05 -1.29004620e+05  1.04642939e+06  0.00000000e+00 -3.52672313e+06 -3.48554521e+05  5.44221582e+05  4.09024244e+07  1.91616194e+04  1.25551569e+03  1.00133835e+05
27000            -3.35823842e+06 -6.75756038e+05 -1.28740954e+05  1.04653830e+06  0.00000000e+00 -3.60027973e+06 -3.79879842e+05  5.02854163e+05  3.38112066e+07  1.58610459e+04  1.25294960e+03  1.00338874e+05
30000            -3.65969025e+06 -9.10223390e+05 -1.28452751e+05  1.03336139e+06  0.00000000e+00 -3.65437550e+06 -4.05902428e+05  4.75168851e+05  2.91215362e+07  1.36857007e+04  1.25014471e+03  1.00564036e+05
