#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              5.60372018e+07  5.46292442e+07 -1.41115448e+05  7.33790565e+05  0.00000000e+00  8.15282484e+05  5.78193456e+05  4.00154054e+06  1.33782349e+09  6.76022570e+05  1.37338228e+03  9.15409020e+04
2000              3.34878139e+07  3.43953347e+07 -1.38998572e+05  8.43496598e+05  0.00000000e+00 -1.61201889e+06  3.21915265e+05  1.81946418e+06  7.73357012e+08  3.85403109e+05  1.35278014e+03  9.29355464e+04
3000              1.97249109e+07  2.12232396e+07 -1.36166533e+05  9.23027271e+05  0.00000000e+00 -2.28518939e+06  1.67406774e+05  1.29430235e+06  5.34360954e+08  2.62928661e+05  1.32521780e+03  9.48690570e+04
4000              1.34384649e+07  1.51506430e+07 -1.35394888e+05  9.83783384e+05  0.00000000e+00 -2.56056663e+06  5.77182436e+04  1.12352292e+06  3.62028790e+08  1.75049525e+05  1.31770789e+03  9.54077290e+04
5000              9.81386726e+06  1.16357238e+07 -1.34758994e+05  1.03026546e+06  0.00000000e+00 -2.71736298e+06 -1.69475673e+04  1.03745173e+06  2.89591261e+08  1.40028553e+05  1.31151917e+03  9.58588510e+04
6000              6.47429300e+06  8.42726523e+06 -1.33665704e+05  1.03961653e+06  0.00000000e+00 -2.85892305e+06 -6.40105716e+04  9.40288031e+05  2.26004314e+08  1.08397078e+05  1.30087890e+03  9.66421070e+04
7000              4.57034422e+06  6.62181189e+06 -1.33201838e+05  1.05358214e+06  0.00000000e+00 -2.97184798e+06 -9.70044288e+04  8.58526288e+05  1.77704587e+08  8.47602837e+04  1.29636440e+03  9.69787297e+04
8000              2.65691534e+06  4.76724870e+06 -1.30927576e+05  1.06079417e+06  0.00000000e+00 -3.04019996e+06 -1.22996990e+05  8.14322296e+05  1.50361561e+08  7.11757626e+04  1.27423054e+03  9.86640603e+04
9000              1.38574703e+06  3.53877960e+06 -1.29155389e+05  1.07393021e+06  0.00000000e+00 -3.09780739e+06 -1.55047293e+05  7.87370284e+05  1.21805271e+08  5.68973853e+04  1.25698302e+03  1.00018230e+05
10000             3.66384805e+05  2.56947016e+06 -1.27657223e+05  1.08001318e+06  0.00000000e+00 -3.15544131e+06 -1.79987786e+05  7.52905994e+05  1.01733623e+08  4.69599395e+04  1.24240238e+03  1.01192001e+05
