#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              9.97931319e+07  9.70911915e+07 -2.03520768e+05  8.91215327e+05  0.00000000e+00  2.01424589e+06  7.09039158e+05  5.07935898e+06  2.00461940e+09  1.01296058e+06  1.51390625e+03  9.18446337e+04
2000              8.15659488e+07  8.01308363e+07 -2.01184644e+05  1.02142589e+06  0.00000000e+00  6.14871239e+05  5.32047165e+05  3.85070851e+06  1.51582999e+09  7.53094959e+05  1.49652879e+03  9.29088648e+04
3000              6.76175934e+07  6.69598288e+07 -1.98723351e+05  1.10882588e+06  0.00000000e+00 -2.52337974e+05  3.91861593e+05  3.11984098e+06  1.28833212e+09  6.33270382e+05  1.47822026e+03  9.40589680e+04
4000              5.52121072e+07  5.49483875e+07 -1.95055700e+05  1.17690601e+06  0.00000000e+00 -7.18130674e+05  2.97591800e+05  2.74600507e+06  1.12396172e+09  5.47260073e+05  1.45093813e+03  9.58321060e+04
5000              4.51066418e+07  4.51626547e+07 -1.91776603e+05  1.22496752e+06  0.00000000e+00 -1.08920383e+06  2.04668693e+05  2.46597996e+06  8.99643293e+08  4.28982740e+05  1.42654630e+03  9.74676783e+04
6000              3.93276859e+07  3.95493376e+07 -1.89570063e+05  1.24426290e+06  0.00000000e+00 -1.27634458e+06  1.60926986e+05  2.32045732e+06  7.86217931e+08  3.69838418e+05  1.41013276e+03  9.86026735e+04
7000              3.34575125e+07  3.37894393e+07 -1.86145106e+05  1.26020890e+06  0.00000000e+00 -1.40599059e+06  1.19798722e+05  2.23012750e+06  6.90861263e+08  3.20736734e+05  1.38465594e+03  1.00421302e+05
8000              2.88556839e+07  2.92945628e+07 -1.83733918e+05  1.29045065e+06  0.00000000e+00 -1.54559558e+06  6.19378617e+04  2.14639622e+06  5.96847184e+08  2.72078729e+05  1.36672011e+03  1.01732648e+05
9000              2.44946793e+07  2.50788333e+07 -1.80861784e+05  1.32251400e+06  0.00000000e+00 -1.72580619e+06  7.40087897e+03  2.01849566e+06  5.32220661e+08  2.39873204e+05  1.34535550e+03  1.03354757e+05
10000             2.04203587e+07  2.11222762e+07 -1.77860227e+05  1.35056060e+06  0.00000000e+00 -1.87461789e+06 -3.86670138e+04  1.91446135e+06  4.34246592e+08  1.90653816e+05  1.32302817e+03  1.05091511e+05
