#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              5.44049968e+07  5.28353154e+07 -1.40278245e+05  7.48325271e+05  0.00000000e+00  9.61634395e+05  6.10922733e+05  4.11510594e+06  1.33776919e+09  6.75994177e+05  1.36523434e+03  9.20905313e+04
2000              3.09201788e+07  3.17040135e+07 -1.38940401e+05  8.70677414e+05  0.00000000e+00 -1.51557169e+06  3.25682122e+05  1.91262579e+06  7.19104336e+08  3.57035064e+05  1.35221400e+03  9.29733051e+04
3000              2.27311682e+07  2.39902551e+07 -1.38708475e+05  9.26871328e+05  0.00000000e+00 -2.04724983e+06  1.83167071e+05  1.51739194e+06  5.23192545e+08  2.58915417e+05  1.34995682e+03  9.31285430e+04
4000              1.76636607e+07  1.92716765e+07 -1.38598482e+05  9.62579520e+05  0.00000000e+00 -2.43199690e+06  8.65973623e+04  1.22390093e+06  4.32870029e+08  2.14279874e+05  1.34888633e+03  9.32025093e+04
5000              1.32382285e+07  1.50501853e+07 -1.37870455e+05  9.92922461e+05  0.00000000e+00 -2.66700879e+06  1.87586337e+04  1.05238894e+06  3.56817392e+08  1.76123313e+05  1.34180093e+03  9.36948183e+04
6000              1.03886477e+07  1.23472285e+07 -1.37240054e+05  1.01433233e+06  0.00000000e+00 -2.83567308e+06 -5.54346687e+04  9.55045749e+05  3.01080608e+08  1.48071457e+05  1.33566566e+03  9.41252994e+04
7000              7.54413509e+06  9.58760308e+06 -1.36609398e+05  1.03805837e+06  0.00000000e+00 -2.94491697e+06 -9.69747726e+04  8.84576659e+05  2.49219185e+08  1.21987010e+05  1.32952791e+03  9.45596896e+04
8000              5.36869666e+06  7.50200583e+06 -1.36014450e+05  1.03881929e+06  0.00000000e+00 -3.03611401e+06 -1.45347671e+05  8.39557953e+05  2.04950924e+08  9.99383023e+04  1.32373767e+03  9.49732912e+04
9000              3.56049172e+06  5.72726877e+06 -1.35041233e+05  1.05423962e+06  0.00000000e+00 -3.08597543e+06 -1.66744424e+05  8.09877185e+05  1.67422581e+08  8.12193661e+04  1.31426601e+03  9.56577805e+04
10000             2.34513161e+06  4.54650383e+06 -1.34604778e+05  1.07030568e+06  0.00000000e+00 -3.13707312e+06 -1.86195157e+05  7.77018053e+05  1.37982691e+08  6.65501651e+04  1.31001829e+03  9.59678019e+04
