#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              1.03966409e+08  1.00428298e+08 -2.03891152e+05  9.01483657e+05  0.00000000e+00  2.84051868e+06  7.28616968e+05  5.88571682e+06  2.00465769e+09  1.01298146e+06  1.51666138e+03  9.16762696e+04
2000              8.16338698e+07  7.94249058e+07 -2.00352488e+05  1.03017930e+06  0.00000000e+00  1.37913722e+06  5.69251794e+05  4.57746782e+06  1.55411626e+09  7.73971180e+05  1.49033873e+03  9.32954883e+04
3000              7.29450217e+07  7.12772955e+07 -1.99323220e+05  1.11581629e+06  0.00000000e+00  7.51233115e+05  5.05769261e+05  4.00961400e+06  1.32582382e+09  6.51588981e+05  1.48268244e+03  9.37753409e+04
4000              6.77308978e+07  6.63933696e+07 -1.98669567e+05  1.18299339e+06  0.00000000e+00  3.53204412e+05  4.29003692e+05  3.68562446e+06  1.24201982e+09  6.09701794e+05  1.47782018e+03  9.40843934e+04
5000              5.92867256e+07  5.82232346e+07 -1.96227785e+05  1.22923583e+06  0.00000000e+00  3.04829494e+04  3.54168362e+05  3.43562082e+06  1.11660096e+09  5.43622100e+05  1.45965678e+03  9.52552425e+04
6000              5.28639728e+07  5.20448200e+07 -1.94079793e+05  1.25594800e+06  0.00000000e+00 -2.42715396e+05  2.74218380e+05  3.24019288e+06  1.00329839e+09  4.84004093e+05  1.44367877e+03  9.63122338e+04
7000              4.68311476e+07  4.62517528e+07 -1.91891311e+05  1.28211092e+06  0.00000000e+00 -5.10824720e+05  2.11303573e+05  3.03342075e+06  8.81101880e+08  4.18648243e+05  1.42739956e+03  9.74078935e+04
8000              4.13070433e+07  4.09132689e+07 -1.89134245e+05  1.29578509e+06  0.00000000e+00 -7.12876401e+05  1.64867542e+05  2.87699090e+06  7.89476673e+08  3.70928938e+05  1.40689089e+03  9.88290448e+04
9000              3.76761296e+07  3.75100899e+07 -1.87638883e+05  1.32157146e+06  0.00000000e+00 -9.67892869e+05  1.19456083e+05  2.66550140e+06  7.20564362e+08  3.35040772e+05  1.39576752e+03  9.96151520e+04
10000             3.46655556e+07  3.45704740e+07 -1.86222548e+05  1.34707246e+06  0.00000000e+00 -1.06576829e+06  8.34283660e+04  2.60237509e+06  6.58996657e+08  3.03433674e+05  1.38523199e+03  1.00372573e+05
