#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              2.80478927e+07  2.73857944e+07 -9.77374354e+04  7.27709018e+05  0.00000000e+00  3.21267039e+04  4.80047960e+04  1.06601000e+06  6.86099090e+08  3.46880989e+05  1.06384661e+03  9.12923778e+04
2000              1.59147721e+07  1.56983470e+07 -9.71742366e+04  8.61289307e+05  0.00000000e+00 -5.47690001e+05 -1.21897973e+05  6.48267879e+05  3.99722899e+08  2.01035875e+05  1.05771634e+03  9.18219220e+04
3000              8.68265178e+06  8.60404093e+06 -9.58694958e+04  9.36907303e+05  0.00000000e+00 -7.62426956e+05 -2.17535456e+05  5.23080178e+05  2.39033261e+08  1.19297691e+05  1.04351458e+03  9.30719504e+04
4000              5.13263067e+06  5.11600628e+06 -9.50119487e+04  9.80773175e+05  0.00000000e+00 -8.69136833e+05 -2.74157786e+05  4.70194165e+05  1.49810789e+08  7.39149217e+04  1.03418040e+03  9.39110135e+04
5000              2.75450238e+06  2.74748648e+06 -9.42996309e+04  1.01784396e+06  0.00000000e+00 -9.16528428e+05 -3.05990122e+05  4.52348429e+05  1.07638498e+08  5.30219610e+04  1.02642700e+03  9.46211326e+04
6000              1.55800919e+06  1.60511907e+06 -9.35251883e+04  1.03279482e+06  0.00000000e+00 -9.86379518e+05 -3.38895692e+05  4.13118423e+05  7.09010337e+07  3.46534527e+04  1.01799740e+03  9.54039611e+04
7000              6.74163256e+05  7.66762857e+05 -9.25734512e+04  1.04734824e+06  0.00000000e+00 -1.04737439e+06 -3.74301509e+05  3.85834490e+05  5.35936314e+07  2.61062872e+04  1.00763799e+03  9.63864996e+04
8000              1.40597254e+05  2.66358125e+05 -9.16856391e+04  1.04909885e+06  0.00000000e+00 -1.08317409e+06 -3.90966649e+05  3.65106561e+05  4.14999008e+07  2.00702301e+04  9.97974382e+02  9.73193981e+04
9000             -2.57912960e+05 -1.11383164e+05 -9.06254354e+04  1.04169318e+06  0.00000000e+00 -1.09759754e+06 -3.96709935e+05  3.55118701e+05  3.29052997e+07  1.57922387e+04  9.86434340e+02  9.84584858e+04
10000            -6.65820623e+05 -4.96816774e+05 -8.86097182e+04  1.04059585e+06  0.00000000e+00 -1.12098998e+06 -4.08161112e+05  3.42274797e+05  2.47267078e+07  1.17802871e+04  9.64493782e+02  1.00699164e+05
