#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              2.14456389e+07  2.06583702e+07 -1.05305206e+05  9.14160647e+05  0.00000000e+00 -2.15867108e+04 -1.44652478e+04  7.38597393e+05  5.03596979e+08  2.54898587e+05  8.94378128e+02  9.15066314e+04
2000              1.49403784e+07  1.41562060e+07 -1.04569199e+05  1.06123989e+06  0.00000000e+00 -1.72498331e+05 -7.88577606e+04  6.47868022e+05  3.35020250e+08  1.68862180e+05  8.88127078e+02  9.21508614e+04
3000              1.15968849e+07  1.08296913e+07 -1.03935676e+05  1.14119011e+06  0.00000000e+00 -2.70060817e+05 -1.24418766e+05  5.93298732e+05  2.55223540e+08  1.27734722e+05  8.82746439e+02  9.27124796e+04
4000              9.67217214e+06  8.89483090e+06 -1.03349724e+05  1.19711163e+06  0.00000000e+00 -3.16420663e+05 -1.50903286e+05  5.71436908e+05  2.17800765e+08  1.08464537e+05  8.77769830e+02  9.32386598e+04
5000              7.58975337e+06  6.80506799e+06 -1.01958755e+05  1.23384670e+06  0.00000000e+00 -3.47202563e+05 -1.73284545e+05  5.61633900e+05  1.83561953e+08  9.06045994e+04  8.65956052e+02  9.45131312e+04
6000              5.97386677e+06  5.19396332e+06 -1.00659929e+05  1.25944049e+06  0.00000000e+00 -3.78877111e+05 -1.86744006e+05  5.42295294e+05  1.44445947e+08  7.00898542e+04  8.54924864e+02  9.57297204e+04
7000              4.82242791e+06  4.02010758e+06 -9.94185012e+04  1.28503307e+06  0.00000000e+00 -3.83294242e+05 -1.85172506e+05  5.35031692e+05  1.24421977e+08  5.99339500e+04  8.44381170e+02  9.69251311e+04
8000              3.77005900e+06  2.97840967e+06 -9.79630632e+04  1.29302882e+06  0.00000000e+00 -4.03416434e+05 -1.96942987e+05  5.26248735e+05  1.07133451e+08  5.11235848e+04  8.32019845e+02  9.83674395e+04
9000              3.02280222e+06  2.23048957e+06 -9.70680115e+04  1.30453550e+06  0.00000000e+00 -4.15154843e+05 -1.94732014e+05  5.11902449e+05  8.70882590e+07  4.10071233e+04  8.24417992e+02  9.92731654e+04
10000             1.85849596e+06  1.06171998e+06 -9.38554934e+04  1.31391997e+06  0.00000000e+00 -4.23288499e+05 -1.94582579e+05  5.03189147e+05  7.28791696e+07  3.38615279e+04  7.97133435e+02  1.02687030e+05
