#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              5.85364419e+07  5.67552295e+07 -1.40668617e+05  7.29552343e+05  0.00000000e+00  1.19232869e+06  6.22193997e+05  4.33557337e+06  1.33785538e+09  6.76039919e+05  1.36903357e+03  9.18317028e+04
2000              3.43636360e+07  3.54044861e+07 -1.39807970e+05  8.62258176e+05  0.00000000e+00 -1.76330035e+06  2.91983115e+05  1.69856369e+06  8.05235726e+08  4.02747452e+05  1.36065747e+03  9.23965116e+04
3000              2.25480127e+07  2.42375419e+07 -1.38956332e+05  9.44282258e+05  0.00000000e+00 -2.49485520e+06  1.22739941e+05  1.12891514e+06  5.52828645e+08  2.75092140e+05  1.35236905e+03  9.29627555e+04
4000              1.51470510e+07  1.70147404e+07 -1.37604372e+05  9.94201123e+05  0.00000000e+00 -2.72428609e+06  2.52924900e+04  9.92567255e+05  4.12727574e+08  2.03946993e+05  1.33921133e+03  9.38771659e+04
5000              1.01772627e+07  1.21696757e+07 -1.36076465e+05  1.02399120e+06  0.00000000e+00 -2.88032779e+06 -4.75279080e+04  9.06131503e+05  3.03481969e+08  1.47992278e+05  1.32434123e+03  9.49304561e+04
6000              7.26439307e+06  9.33155529e+06 -1.35606722e+05  1.05212936e+06  0.00000000e+00 -2.98368485e+06 -8.46129064e+04  8.37402464e+05  2.33912429e+08  1.13507876e+05  1.31976953e+03  9.52588215e+04
7000              5.12979712e+06  7.21626158e+06 -1.34264425e+05  1.07277602e+06  0.00000000e+00 -3.02497606e+06 -1.05276224e+05  8.14034297e+05  1.98796252e+08  9.62339569e+04  1.30670586e+03  9.62131975e+04
8000              2.92042362e+06  5.03673465e+06 -1.32040445e+05  1.09341750e+06  0.00000000e+00 -3.07768808e+06 -1.35110703e+05  7.88677386e+05  1.54533673e+08  7.35049932e+04  1.28506134e+03  9.78329970e+04
9000              1.63599905e+06  3.80615193e+06 -1.30927523e+05  1.10181887e+06  0.00000000e+00 -3.14104423e+06 -1.67420360e+05  7.56063734e+05  1.24266377e+08  5.84551616e+04  1.27423002e+03  9.86638314e+04
10000             4.62632535e+05  2.68873575e+06 -1.29587910e+05  1.10413865e+06  0.00000000e+00 -3.20065395e+06 -1.91864655e+05  7.18953823e+05  1.02226302e+08  4.77243447e+04  1.26119247e+03  9.96847962e+04
