#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
1000              7.65836074e+07  7.33369013e+07 -1.86556095e+05  8.57697477e+05  2.04824080e+06  5.27323951e+05  5.13311716e+05  3.79639078e+06  1.70774553e+09  8.62846455e+05  1.49629551e+03  9.18043989e+04
2000              5.75115455e+07  5.55864502e+07 -1.85242955e+05  1.04803308e+06  2.02907040e+06 -9.66765233e+05  3.59761245e+05  2.45008788e+06  1.16866774e+09  5.84063951e+05  1.48576331e+03  9.24555072e+04
3000              4.57009015e+07  4.41082904e+07 -1.83881144e+05  1.14028212e+06  2.01428953e+06 -1.37807941e+06  2.49512066e+05  2.14606238e+06  9.35402022e+08  4.64335867e+05  1.47484074e+03  9.31394248e+04
4000              3.96514655e+07  3.82167337e+07 -1.83202933e+05  1.19688376e+06  2.00881879e+06 -1.58776781e+06  1.73329320e+05  2.01109170e+06  7.89153031e+08  3.89895988e+05  1.46940107e+03  9.34845020e+04
5000              3.40249262e+07  3.27785831e+07 -1.82303472e+05  1.24377706e+06  2.01037207e+06 -1.82550258e+06  1.01848486e+05  1.84217896e+06  6.75340204e+08  3.31492947e+05  1.46218683e+03  9.39452078e+04
6000              3.09003360e+07  2.97320921e+07 -1.81989709e+05  1.28592093e+06  2.01002182e+06 -1.94570914e+06  5.94407759e+04  1.76218125e+06  6.15952873e+08  3.01729629e+05  1.45967026e+03  9.41071451e+04
7000              2.75154967e+07  2.64909602e+07 -1.81829606e+05  1.33581566e+06  2.00295193e+06 -2.13240148e+06  2.50978048e+04  1.60856721e+06  5.64729548e+08  2.76407568e+05  1.45838614e+03  9.41900158e+04
8000              2.44151299e+07  2.35017247e+07 -1.81519045e+05  1.37044006e+06  1.99366744e+06 -2.26918327e+06 -2.93018009e+04  1.52500049e+06  5.14890470e+08  2.51679915e+05  1.45589524e+03  9.43511827e+04
9000              2.21178922e+07  2.12844697e+07 -1.81242147e+05  1.40304805e+06  1.98764987e+06 -2.37603319e+06 -7.40264249e+04  1.46152076e+06  4.70869361e+08  2.29820186e+05  1.45367435e+03  9.44953156e+04
10000             2.01376076e+07  1.94041154e+07 -1.80863462e+05  1.42576785e+06  1.98679666e+06 -2.49820890e+06 -1.03308393e+05  1.36635761e+06  4.40482993e+08  2.14750778e+05  1.45063707e+03  9.46931999e+04
