#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              4.06546694e+07  3.98690790e+07 -1.47849645e+05  9.77425264e+05  0.00000000e+00 -4.39851892e+04 -3.08212165e+04  1.07261132e+06  1.08129171e+09  5.46653974e+05  1.18325248e+03  9.33483951e+04
5000              1.96092589e+07  1.91328957e+07 -1.40598027e+05  1.20137811e+06  0.00000000e+00 -5.84416818e+05 -2.14613367e+05  7.07308019e+05  5.68192689e+08  2.78536081e+05  1.12521720e+03  9.81796440e+04
7500              1.14041848e+07  1.09973579e+07 -1.36268992e+05  1.30328537e+06  0.00000000e+00 -7.60189455e+05 -2.86139099e+05  5.98622806e+05  2.98335160e+08  1.37600039e+05  1.09057159e+03  1.01270264e+05
10000             7.29959242e+06  6.89753613e+06 -1.33463792e+05  1.37132537e+06  0.00000000e+00 -8.35805289e+05 -3.09047913e+05  5.42385314e+05  2.09577180e+08  9.48998797e+04  1.06812135e+03  1.03400298e+05
12500             4.72268262e+06  4.32837815e+06 -1.30628553e+05  1.42499554e+06  0.00000000e+00 -9.00062513e+05 -3.26516951e+05  4.92821838e+05  1.51840957e+08  6.74720836e+04  1.04543070e+03  1.05646048e+05
15000             3.16188178e+06  2.80751029e+06 -1.28691228e+05  1.42391897e+06  0.00000000e+00 -9.40856253e+05 -3.33443104e+05  4.56743320e+05  1.15706588e+08  5.05022640e+04  1.02992614e+03  1.07237101e+05
17500             1.44523122e+06  1.09184202e+06 -1.24541016e+05  1.41796758e+06  0.00000000e+00 -9.40037355e+05 -3.31827426e+05  4.54433280e+05  8.37413512e+07  3.58157190e+04  9.96711668e+02  1.10819222e+05
20000             2.27460017e+05 -8.90667833e+04 -1.19702905e+05  1.40381135e+06  0.00000000e+00 -9.67581646e+05 -3.44465585e+05  4.38564616e+05  5.42316471e+07  2.25086607e+04  9.57991874e+02  1.15299478e+05
22500            -5.56628368e+05 -8.31681981e+05 -1.14960099e+05  1.39526135e+06  0.00000000e+00 -1.00524764e+06 -3.58382299e+05  4.14621066e+05  3.32421109e+07  1.33609576e+04  9.20034826e+02  1.20054169e+05
25000            -1.08525512e+06 -1.33635944e+06 -1.09458138e+05  1.38810594e+06  0.00000000e+00 -1.02754349e+06 -3.56820314e+05  3.90333708e+05  2.16678762e+07  8.54929962e+03  8.76002192e+02  1.26118389e+05
