#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.45247526e+07  8.29089289e+07 -2.00767343e+05  9.82702242e+05  0.00000000e+00  8.33888731e+05  5.87280132e+05  4.01709484e+06  2.00474916e+09  1.01302905e+06  1.49342467e+03  9.31189018e+04
5000              5.24426300e+07  5.24065992e+07 -1.93241939e+05  1.17865138e+06  0.00000000e+00 -9.49378683e+05  3.37879708e+05  2.47465327e+06  1.10675783e+09  5.34328984e+05  1.43744632e+03  9.67374942e+04
7500              3.90922000e+07  3.94628503e+07 -1.88969014e+05  1.28873526e+06  0.00000000e+00 -1.47041648e+06  1.70040868e+05  2.11619285e+06  8.13312499e+08  3.82138708e+05  1.40566181e+03  9.89177956e+04
10000             3.03436016e+07  3.10828175e+07 -1.86324337e+05  1.35770101e+06  0.00000000e+00 -1.91059255e+06  4.14206878e+04  1.79924878e+06  6.35956902e+08  2.93377343e+05  1.38598916e+03  1.00319222e+05
12500             2.39705943e+07  2.48758037e+07 -1.83393941e+05  1.41722124e+06  0.00000000e+00 -2.13903676e+06 -2.72992927e+04  1.63682706e+06  5.36221698e+08  2.44642499e+05  1.36419116e+03  1.01923267e+05
15000             1.85959154e+07  1.96444310e+07 -1.80078429e+05  1.43991599e+06  0.00000000e+00 -2.30835323e+06 -8.63988305e+04  1.52439037e+06  4.40008490e+08  1.97513434e+05  1.33952845e+03  1.03801955e+05
17500             1.25945149e+07  1.37320337e+07 -1.73987224e+05  1.46131708e+06  0.00000000e+00 -2.42484858e+06 -1.30991566e+05  1.45011047e+06  3.39190101e+08  1.48212732e+05  1.29421851e+03  1.07436387e+05
20000             8.09061039e+06  9.35173619e+06 -1.68014632e+05  1.47469039e+06  0.00000000e+00 -2.56780156e+06 -1.81565588e+05  1.35570164e+06  2.61117223e+08  1.10901160e+05  1.24979089e+03  1.11278383e+05
22500             4.07227069e+06  5.43124664e+06 -1.60609483e+05  1.48428862e+06  0.00000000e+00 -2.68265508e+06 -2.24771357e+05  1.28259990e+06  1.74409207e+08  7.06576220e+04  1.19470706e+03  1.16390767e+05
25000             2.45803441e+06  3.93248144e+06 -1.57572514e+05  1.49413895e+06  0.00000000e+00 -2.81101346e+06 -2.50660645e+05  1.17870225e+06  1.31072489e+08  5.15438020e+04  1.17211632e+03  1.18623605e+05
