#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.37628667e+07  8.15079354e+07 -1.99500813e+05  9.83577439e+05  0.00000000e+00  1.47085464e+06  5.91871851e+05  4.64930902e+06  2.00472365e+09  1.01301374e+06  1.48400347e+03  9.37140690e+04
5000              4.46297203e+07  4.40450202e+07 -1.86627422e+05  1.15072736e+06  0.00000000e+00 -3.79399784e+05  2.84899837e+05  3.09682390e+06  1.04293341e+09  4.96007594e+05  1.38824368e+03  1.00197975e+05
7500              2.40466603e+07  2.39854037e+07 -1.74181218e+05  1.23399651e+06  0.00000000e+00 -9.98558674e+05  1.33758677e+05  2.62266087e+06  6.20253197e+08  2.77241066e+05  1.29566155e+03  1.07392650e+05
10000             7.67560291e+06  8.05609049e+06 -1.52470948e+05  1.30281658e+06  0.00000000e+00 -1.53083322e+06 -4.58858731e+03  2.22308265e+06  3.04903293e+08  1.23700374e+05  1.13416790e+03  1.23050742e+05
12500            -2.72094681e+05  6.20679260e+05 -1.28393273e+05  1.33969809e+06  0.00000000e+00 -2.10407875e+06 -1.02833374e+05  1.74421272e+06  9.07339122e+07  3.12420792e+04  9.55064098e+02  1.45951445e+05
15000            -2.41425526e+06 -1.22471251e+06 -1.10182533e+05  1.33982103e+06  0.00000000e+00 -2.41918124e+06 -1.46095486e+05  1.46861375e+06  2.38980210e+07  7.28929687e+03  8.19601984e+02  1.69983757e+05
17500            -2.98848025e+06 -1.50069912e+06 -9.96234562e+04  1.32132987e+06  0.00000000e+00 -2.70948755e+06 -1.76616159e+05  1.20557664e+06  6.55631996e+05  4.37791072e+02  7.41057408e+02  1.87629063e+05
20000            -3.27379885e+06 -1.49627463e+06 -9.94300169e+04  1.31678666e+06  0.00000000e+00 -2.99488085e+06 -2.29335654e+05  9.70994928e+05  5.97443657e+05  4.18890564e+02  7.39618494e+02  1.87988712e+05
22500            -3.47497122e+06 -1.53690955e+06 -9.98767722e+04  1.29075057e+06  0.00000000e+00 -3.12893547e+06 -2.79224688e+05  8.85900519e+05  1.06757564e+05  3.00416824e+02  7.42941720e+02  1.87147520e+05
25000            -3.64105544e+06 -1.56041528e+06 -1.00958221e+05  1.27921239e+06  0.00000000e+00 -3.25889432e+06 -3.21562761e+05  7.97924135e+05 -1.13632729e+05  2.47469808e+02  7.50986167e+02  1.85145800e+05
