#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.69894242e+07  1.61816316e+07 -1.03723791e+05  1.00263737e+06  0.00000000e+00 -9.11210034e+04 -3.93673972e+04  6.90378012e+05  5.03654503e+08  2.54926901e+05  8.80946855e+02  9.29155689e+04
5000              8.29541157e+06  7.49748226e+06 -1.00296920e+05  1.18766254e+06  0.00000000e+00 -2.89436315e+05 -1.16422036e+05  5.62671175e+05  2.25873479e+08  1.10546294e+05  8.51841761e+02  9.60862637e+04
7500              3.99179757e+06  3.20370012e+06 -9.62338760e+04  1.27014167e+06  0.00000000e+00 -3.85810338e+05 -1.70739413e+05  5.17454335e+05  1.29066609e+08  6.09412868e+04  8.17333513e+02  1.00144597e+05
10000             2.24006958e+06  1.48216890e+06 -9.38281565e+04  1.29886336e+06  0.00000000e+00 -4.47134523e+05 -2.03226091e+05  4.85386508e+05  7.86658457e+07  3.60461674e+04  7.96901257e+02  1.02702118e+05
12500             1.03554963e+06  2.97990039e+05 -9.05104555e+04  1.32888376e+06  0.00000000e+00 -5.00813713e+05 -2.23640087e+05  4.50392183e+05  5.78596037e+07  2.61944572e+04  7.68723360e+02  1.06494827e+05
15000             1.75292836e+05 -5.42891714e+05 -8.66403318e+04  1.33849771e+06  0.00000000e+00 -5.33672830e+05 -2.33094795e+05  4.26843242e+05  3.30990340e+07  1.44237774e+04  7.35853628e+02  1.11241410e+05
17500            -2.43420448e+05 -9.25480131e+05 -8.45260895e+04  1.33445594e+06  0.00000000e+00 -5.67870164e+05 -2.49105814e+05  4.08226566e+05  1.93670452e+07  8.28855238e+03  7.17896946e+02  1.14001692e+05
20000            -4.36103926e+05 -1.03468137e+06 -8.43031003e+04  1.31222668e+06  0.00000000e+00 -6.29346129e+05 -2.88607431e+05  3.85881596e+05  1.57662982e+07  6.79975287e+03  7.16003054e+02  1.14302962e+05
22500            -5.78940192e+05 -1.12672594e+06 -8.41529884e+04  1.30004120e+06  0.00000000e+00 -6.68102465e+05 -3.13098834e+05  3.71843562e+05  1.43355977e+07  6.21451332e+03  7.14728124e+02  1.14506862e+05
25000            -6.97024862e+05 -1.20664616e+06 -8.39092700e+04  1.28483421e+06  0.00000000e+00 -6.91303638e+05 -3.26210573e+05  3.61338902e+05  1.23768402e+07  5.41839985e+03  7.12658175e+02  1.14839682e+05
