#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              3.61375045e+07  3.62570854e+07 -1.37046686e+05  8.39832020e+05  0.00000000e+00 -8.22366215e+05  3.98492790e+05  2.53657731e+06  1.33800906e+09  6.76116843e+05  1.33378374e+03  9.42897509e+04
5000              9.95239538e+06  1.16379909e+07 -1.28782937e+05  9.96832281e+05  0.00000000e+00 -2.55364491e+06  7.41768282e+04  1.11423346e+06  3.90243261e+08  1.84981277e+05  1.25335820e+03  1.00335199e+05
7500              9.14612630e+05  2.95288549e+06 -1.18161089e+05  1.05752449e+06  0.00000000e+00 -2.97763626e+06 -9.88674857e+04  8.55822738e+05  1.54571545e+08  6.87894785e+04  1.14998286e+03  1.09384567e+05
10000            -2.21898120e+06  4.07580711e+04 -1.08998890e+05  1.05883846e+06  0.00000000e+00 -3.20957884e+06 -1.96875337e+05  7.19243236e+05  5.88212376e+07  2.42011959e+04  1.06081330e+03  1.18573740e+05
12500            -3.42863281e+06 -1.05479844e+06 -1.00181793e+05  1.05297675e+06  0.00000000e+00 -3.32662932e+06 -2.52130017e+05  6.53709436e+05  1.90492818e+07  7.38867746e+03  9.75002390e+02  1.28994582e+05
15000            -3.79829859e+06 -1.30523850e+06 -9.43985547e+04  1.01036931e+06  0.00000000e+00 -3.40903083e+06 -2.86989727e+05  6.05130555e+05  3.71149966e+06  1.53396143e+03  9.18718001e+02  1.36854347e+05
17500            -3.96190722e+06 -1.34277011e+06 -9.44607113e+04  9.74936505e+05  0.00000000e+00 -3.49961290e+06 -3.30067198e+05  5.57065589e+05  2.60884363e+05  3.36201016e+02  9.19322929e+02  1.36752881e+05
20000            -4.08275219e+06 -1.36279851e+06 -9.50534018e+04  9.50627121e+05  0.00000000e+00 -3.57552739e+06 -3.68891678e+05  5.20138142e+05  2.21600259e+05  3.25647388e+02  9.25091189e+02  1.35900300e+05
22500            -4.18208955e+06 -1.38925105e+06 -9.62014438e+04  9.45576486e+05  0.00000000e+00 -3.64221354e+06 -4.03929395e+05  4.87674845e+05  2.56154906e+05  3.40530011e+02  9.36264315e+02  1.34279552e+05
25000            -4.26709645e+06 -1.40795785e+06 -9.75265003e+04  9.35120099e+05  0.00000000e+00 -3.69673220e+06 -4.33835217e+05  4.62862238e+05  1.45786700e+05  3.06539128e+02  9.49160204e+02  1.32455831e+05
