#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.77427793e+07  8.62990813e+07 -2.02407753e+05  9.77583814e+05  0.00000000e+00  6.68521941e+05  6.05448743e+05  3.83263733e+06  2.00481118e+09  1.01306470e+06  1.50562700e+03  9.23493801e+04
5000              5.68707108e+07  5.70017341e+07 -1.96521809e+05  1.14510151e+06  0.00000000e+00 -1.07960301e+06  3.21062607e+05  2.36089859e+06  1.26177925e+09  6.23412204e+05  1.46184391e+03  9.51218271e+04
7500              3.89688702e+07  3.96058863e+07 -1.90544903e+05  1.23785567e+06  0.00000000e+00 -1.68432689e+06  1.50553034e+05  1.92149435e+06  8.49176292e+08  4.03575530e+05  1.41738419e+03  9.81014797e+04
10000             2.91467081e+07  3.01055066e+07 -1.86893995e+05  1.30310392e+06  0.00000000e+00 -2.07500844e+06  4.01373027e+04  1.63571151e+06  6.49359422e+08  3.02279395e+05  1.39022661e+03  1.00013720e+05
12500             2.32276685e+07  2.43700298e+07 -1.84939741e+05  1.35673648e+06  0.00000000e+00 -2.31415802e+06 -2.00056604e+04  1.45309426e+06  5.28657059e+08  2.42761388e+05  1.37568973e+03  1.01069636e+05
15000             1.89554611e+07  2.01950463e+07 -1.83945977e+05  1.41591299e+06  0.00000000e+00 -2.47155221e+06 -7.83701111e+04  1.35174351e+06  4.46320984e+08  2.03093407e+05  1.36829752e+03  1.01614827e+05
17500             1.58569106e+07  1.71655119e+07 -1.83147759e+05  1.43849102e+06  0.00000000e+00 -2.56394449e+06 -1.19808323e+05  1.29843034e+06  3.81518305e+08  1.72877479e+05  1.36235992e+03  1.02057712e+05
20000             1.37442672e+07  1.51323989e+07 -1.82455256e+05  1.44164523e+06  0.00000000e+00 -2.64732161e+06 -1.50199913e+05  1.24444887e+06  3.39292235e+08  1.53183745e+05  1.35720867e+03  1.02444911e+05
22500             1.22658418e+07  1.37262230e+07 -1.82113253e+05  1.44302627e+06  0.00000000e+00 -2.72129414e+06 -1.85024189e+05  1.20456260e+06  3.12944791e+08  1.40927906e+05  1.35466466e+03  1.02637260e+05
25000             1.07539957e+07  1.22578092e+07 -1.81867516e+05  1.45174102e+06  0.00000000e+00 -2.77368705e+06 -2.02314594e+05  1.16849544e+06  2.91152117e+08  1.30941796e+05  1.35283672e+03  1.02775925e+05
