#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.74133743e+07  8.55133352e+07 -2.01903750e+05  9.57657958e+05  0.00000000e+00  1.14428486e+06  5.58601842e+05  4.35624076e+06  2.00479461e+09  1.01305516e+06  1.50187792e+03  9.25841844e+04
5000              6.16138955e+07  6.11244311e+07 -1.98968736e+05  1.13986356e+06  0.00000000e+00 -4.51430443e+05  2.76669361e+05  3.03273224e+06  1.22043170e+09  5.99610847e+05  1.48004557e+03  9.39427466e+04
7500              5.11909298e+07  5.12248576e+07 -1.97547685e+05  1.23790064e+06  0.00000000e+00 -1.07428076e+06  1.66529009e+05  2.51286365e+06  1.01404332e+09  4.95433984e+05  1.46947497e+03  9.46188260e+04
10000             4.33899842e+07  4.36289069e+07 -1.95929846e+05  1.33149797e+06  0.00000000e+00 -1.37449084e+06  1.02113551e+05  2.27306898e+06  8.65126852e+08  4.19077525e+05  1.45744054e+03  9.53997890e+04
12500             3.69207778e+07  3.73245448e+07 -1.94053720e+05  1.40087478e+06  0.00000000e+00 -1.61058804e+06  5.13085127e+04  2.08426373e+06  7.63387205e+08  3.67860952e+05  1.44348482e+03  9.63234633e+04
15000             2.97535439e+07  3.02980334e+07 -1.91282112e+05  1.45679253e+06  0.00000000e+00 -1.80999987e+06 -2.94937694e+04  1.96323292e+06  6.32422712e+08  2.99792922e+05  1.42286798e+03  9.77190488e+04
17500             2.35860632e+07  2.42084899e+07 -1.87544718e+05  1.47807742e+06  0.00000000e+00 -1.91295943e+06 -7.26884832e+04  1.90130545e+06  5.27670449e+08  2.46975964e+05  1.39506707e+03  9.96703707e+04
20000             1.65402502e+07  1.72973452e+07 -1.81086371e+05  1.48557768e+06  0.00000000e+00 -2.06158626e+06 -1.18588544e+05  1.79672076e+06  4.22307737e+08  1.92972465e+05  1.34702611e+03  1.03229445e+05
22500             1.14173185e+07  1.22282345e+07 -1.74471879e+05  1.50879643e+06  0.00000000e+00 -2.14524064e+06 -1.47755041e+05  1.74046846e+06  3.13002605e+08  1.37824545e+05  1.29782366e+03  1.07158750e+05
25000             6.12094001e+06  7.01552858e+06 -1.64531505e+05  1.50323381e+06  0.00000000e+00 -2.23329088e+06 -1.60002202e+05  1.66301877e+06  2.18248525e+08  9.14819159e+04  1.22388136e+03  1.13649004e+05
