#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              9.29640726e+07  9.09459923e+07 -2.02866820e+05  9.71285483e+05  0.00000000e+00  1.24966161e+06  6.49894590e+05  4.36931766e+06  2.00480733e+09  1.01306000e+06  1.50904180e+03  9.21473181e+04
5000              5.90012362e+07  5.85960010e+07 -1.94859418e+05  1.12625918e+06  0.00000000e+00 -5.26164526e+05  3.50573956e+05  2.88346772e+06  1.25212664e+09  6.11650297e+05  1.44947807e+03  9.59519160e+04
7500              3.67853821e+07  3.68305874e+07 -1.84004769e+05  1.22072072e+06  0.00000000e+00 -1.08192127e+06  1.97034796e+05  2.47552920e+06  7.64522971e+08  3.51755535e+05  1.36873486e+03  1.01595256e+05
10000             2.36366744e+07  2.40014208e+07 -1.74839389e+05  1.28226432e+06  0.00000000e+00 -1.47217130e+06  8.68635739e+04  2.18895310e+06  5.65082981e+08  2.50897171e+05  1.30055741e+03  1.06944075e+05
12500             1.23636895e+07  1.30278768e+07 -1.62277524e+05  1.33218290e+06  0.00000000e+00 -1.83409263e+06 -4.82700247e+03  1.91507742e+06  3.49249061e+08  1.45448047e+05  1.20711493e+03  1.15275980e+05
15000             5.88510453e+06  6.84449539e+06 -1.52680549e+05  1.37451668e+06  0.00000000e+00 -2.18122699e+06 -1.01687626e+05  1.66181302e+06  1.94968084e+08  7.50906306e+04  1.13572702e+03  1.22429470e+05
17500             2.87779124e+06  4.04320359e+06 -1.47752397e+05  1.39396764e+06  0.00000000e+00 -2.41162759e+06 -1.57349954e+05  1.48484680e+06  1.42441344e+08  5.30952466e+04  1.09906855e+03  1.26521470e+05
20000             6.08981199e+05  1.98225834e+06 -1.42176355e+05  1.38760396e+06  0.00000000e+00 -2.61870475e+06 -2.09102348e+05  1.32768099e+06  1.00536588e+08  3.64022788e+04  1.05759071e+03  1.31481947e+05
22500            -8.25167815e+05  6.84663136e+05 -1.37208878e+05  1.37546203e+06  0.00000000e+00 -2.74808410e+06 -2.43634802e+05  1.23129455e+06  7.00217578e+07  2.45544264e+04  1.02063971e+03  1.36245141e+05
25000            -1.77104426e+06 -1.75377872e+05 -1.33612155e+05  1.37750429e+06  0.00000000e+00 -2.83955853e+06 -2.67844088e+05  1.16218888e+06  4.82647543e+07  1.64470124e+04  9.93885189e+02  1.39910061e+05
