#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.12225293e+07  7.92826551e+07 -1.98725756e+05  9.80016494e+05  0.00000000e+00  1.15858354e+06  5.96807150e+05  4.33192722e+06  2.00462961e+09  1.01296339e+06  1.47823815e+03  9.41147792e+04
5000              3.09090662e+07  3.09485293e+07 -1.77957117e+05  1.15926037e+06  0.00000000e+00 -1.02076638e+06  2.58490825e+05  2.48188608e+06  8.07840208e+08  3.70141643e+05  1.32374889e+03  1.05101077e+05
7500              1.39647818e+07  1.45688858e+07 -1.62803515e+05  1.26193382e+06  0.00000000e+00 -1.70323431e+06  7.81337146e+04  1.97308805e+06  3.96528010e+08  1.65274124e+05  1.21102756e+03  1.14878712e+05
10000             4.56462599e+06  5.63279348e+06 -1.47865523e+05  1.32490799e+06  0.00000000e+00 -2.24520996e+06 -4.73988804e+04  1.55113412e+06  2.32038983e+08  9.04337905e+04  1.09991005e+03  1.26660667e+05
12500             4.02282248e+04  1.38057021e+06 -1.36195800e+05  1.35083250e+06  0.00000000e+00 -2.55497868e+06 -1.46313477e+05  1.33592544e+06  9.70762602e+07  3.40399496e+04  1.01310385e+03  1.37319857e+05
15000            -1.76340850e+06 -2.68983753e+05 -1.28207399e+05  1.35654481e+06  0.00000000e+00 -2.72276216e+06 -1.85791066e+05  1.20336818e+06  4.58071958e+07  1.50804840e+04  9.53681459e+02  1.45812786e+05
17500            -2.59605509e+06 -9.83494748e+05 -1.21560110e+05  1.34495469e+06  0.00000000e+00 -2.83595492e+06 -2.16285771e+05  1.11965650e+06  3.06917808e+07  9.87704253e+03  9.04235043e+02  1.53880615e+05
20000            -3.24071698e+06 -1.53483406e+06 -1.09382690e+05  1.32754252e+06  0.00000000e+00 -2.92404275e+06 -2.36829271e+05  1.05167455e+06  1.02143173e+07  3.22538674e+03  8.13652283e+02  1.71032661e+05
22500            -3.50063870e+06 -1.60112261e+06 -1.06034817e+05  1.28715532e+06  0.00000000e+00 -3.08063659e+06 -2.68883080e+05  9.25480707e+05  6.57560259e+05  4.63068400e+02  7.88748854e+02  1.76278899e+05
25000            -3.66363734e+06 -1.62033611e+06 -1.06518573e+05  1.28243494e+06  0.00000000e+00 -3.21921760e+06 -3.01419422e+05  8.18185831e+05  3.49721128e+05  3.82427717e+02  7.92347310e+02  1.75479442e+05
