#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.74716485e+07  1.66680756e+07 -1.04278540e+05  9.89507062e+05  0.00000000e+00 -8.16555454e+04 -3.81278828e+04  6.99878314e+05  5.03655758e+08  2.54927822e+05  8.85658446e+02  9.24113061e+04
5000              7.68141324e+06  6.94836705e+06 -1.00051484e+05  1.17205094e+06  0.00000000e+00 -3.38953269e+05 -1.51093253e+05  5.49282949e+05  2.29003645e+08  1.12843208e+05  8.49757217e+02  9.63375929e+04
7500              2.81340265e+06  2.07603923e+06 -9.35032848e+04  1.24878726e+06  0.00000000e+00 -4.17920551e+05 -1.82131240e+05  4.97599510e+05  1.11386524e+08  5.20635448e+04  7.94142057e+02  1.03087388e+05
10000             1.20358655e+06  4.72812098e+05 -8.99105214e+04  1.28334451e+06  0.00000000e+00 -4.62659543e+05 -2.05313393e+05  4.73579382e+05  5.65219664e+07  2.50927501e+04  7.63628001e+02  1.07185027e+05
12500             4.42166171e+05 -2.64132963e+05 -8.79560583e+04  1.28723086e+06  0.00000000e+00 -4.92975671e+05 -2.24426395e+05  4.60132058e+05  3.70239450e+07  1.61205033e+04  7.47028356e+02  1.09558617e+05
15000             5.14175877e+04 -6.25874241e+05 -8.68591256e+04  1.28988787e+06  0.00000000e+00 -5.25736915e+05 -2.42136700e+05  4.43841749e+05  2.67487775e+07  1.15897464e+04  7.37711887e+02  1.10939711e+05
17500            -1.57535305e+05 -8.03437116e+05 -8.64163243e+04  1.29065423e+06  0.00000000e+00 -5.58336096e+05 -2.57482833e+05  4.25403006e+05  2.24537295e+07  9.74997809e+03  7.33951088e+02  1.11508079e+05
20000            -3.94480532e+05 -9.88254105e+05 -8.58510115e+04  1.28562584e+06  0.00000000e+00 -6.06001253e+05 -2.83175281e+05  4.02337016e+05  1.90853103e+07  8.31365376e+03  7.29149773e+02  1.12242828e+05
22500            -5.98631673e+05 -1.15342047e+06 -8.49338371e+04  1.26891820e+06  0.00000000e+00 -6.29195564e+05 -2.93455650e+05  3.89257490e+05  1.49523276e+07  6.55297980e+03  7.21360028e+02  1.13454667e+05
25000            -7.32344141e+05 -1.25271453e+06 -8.39163367e+04  1.26351692e+06  0.00000000e+00 -6.59230193e+05 -3.08846186e+05  3.74366421e+05  1.21800767e+07  5.37521719e+03  7.12718194e+02  1.14830505e+05
