#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.77541649e+07  8.59097228e+07 -2.02360824e+05  9.55453223e+05  0.00000000e+00  1.09134971e+06  5.81589007e+05  4.28011061e+06  2.00477189e+09  1.01304173e+06  1.50527790e+03  9.23861712e+04
5000              4.94198321e+07  4.92489672e+07 -1.90301640e+05  1.11810952e+06  0.00000000e+00 -7.56942932e+05  2.85147572e+05  2.71959631e+06  1.16352430e+09  5.65973116e+05  1.41557466e+03  9.82567482e+04
7500              2.99885341e+07  3.02336739e+07 -1.80117403e+05  1.21338504e+06  0.00000000e+00 -1.27840740e+06  1.46939199e+05  2.33007781e+06  6.84388601e+08  3.10793265e+05  1.33981836e+03  1.03796673e+05
10000             1.51699853e+07  1.57278339e+07 -1.66577641e+05  1.30234167e+06  0.00000000e+00 -1.69361268e+06  4.22594056e+04  2.01420423e+06  4.62572912e+08  2.00723674e+05  1.23910171e+03  1.12256467e+05
12500             6.06089564e+06  6.80547033e+06 -1.52542880e+05  1.34908528e+06  0.00000000e+00 -1.94111708e+06 -5.02517511e+04  1.85556791e+06  2.52872168e+08  1.01151161e+05  1.13470296e+03  1.22648545e+05
15000             1.57631678e+06  2.54310537e+06 -1.42649494e+05  1.37699872e+06  0.00000000e+00 -2.20113782e+06 -1.23557009e+05  1.66428993e+06  1.10229954e+08  3.97126580e+04  1.06111019e+03  1.31042257e+05
17500            -1.98722171e+05  9.88870838e+05 -1.38359230e+05  1.40023812e+06  0.00000000e+00 -2.44947190e+06 -1.78913932e+05  1.46853255e+06  7.72689901e+07  2.71152167e+04  1.02919670e+03  1.35117898e+05
20000            -1.80673244e+06 -3.96929696e+05 -1.30308175e+05  1.40926816e+06  0.00000000e+00 -2.68876273e+06 -2.05698412e+05  1.25386974e+06  5.27609412e+07  1.79585998e+04  9.69308256e+02  1.43530723e+05
22500            -2.72025484e+06 -1.17302880e+06 -1.23960076e+05  1.40557440e+06  0.00000000e+00 -2.82884036e+06 -2.35841696e+05  1.14216307e+06  2.49731050e+07  8.11444809e+03  9.22087389e+02  1.50799879e+05
25000            -3.18641855e+06 -1.48338736e+06 -1.19380045e+05  1.39027541e+06  0.00000000e+00 -2.97392656e+06 -2.66435114e+05  1.02742369e+06  1.64401444e+07  5.31836503e+03  8.88018446e+02  1.56623927e+05
