#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.98131792e+07  8.80246866e+07 -2.03036530e+05  9.60905820e+05  0.00000000e+00  1.03062333e+06  5.80518499e+05  4.22039694e+06  2.00483006e+09  1.01307520e+06  1.51030420e+03  9.20626036e+04
5000              6.36283265e+07  6.32235045e+07 -1.99158728e+05  1.14808246e+06  0.00000000e+00 -5.44101726e+05  3.46500011e+05  2.87094712e+06  1.30900357e+09  6.49696647e+05  1.48145885e+03  9.38568000e+04
7500              4.49217252e+07  4.51164310e+07 -1.93568633e+05  1.24781677e+06  0.00000000e+00 -1.24895398e+06  1.60596859e+05  2.34638596e+06  9.95368035e+08  4.83419636e+05  1.43987646e+03  9.65719419e+04
10000             2.89167059e+07  2.94602300e+07 -1.84613227e+05  1.32124807e+06  0.00000000e+00 -1.68015894e+06  4.34167501e+04  2.02816967e+06  7.05763835e+08  3.31650729e+05  1.37326093e+03  1.01288767e+05
12500             1.69516276e+07  1.77899404e+07 -1.74394763e+05  1.38184612e+06  0.00000000e+00 -2.04576417e+06 -4.97167157e+04  1.75247788e+06  4.42477799e+08  1.95700547e+05  1.29725002e+03  1.07238297e+05
15000             7.18951674e+06  8.27339539e+06 -1.60267608e+05  1.39590670e+06  0.00000000e+00 -2.31951774e+06 -1.19562509e+05  1.54685094e+06  2.73660733e+08  1.14051325e+05  1.19216400e+03  1.16679475e+05
17500             2.47978147e+06  3.67982813e+06 -1.48595524e+05  1.37793139e+06  0.00000000e+00 -2.42938253e+06 -1.56392354e+05  1.47206397e+06  1.53250770e+08  5.91101204e+04  1.10534023e+03  1.25886866e+05
20000            -6.84384574e+05  6.00171284e+05 -1.35196405e+05  1.39348416e+06  0.00000000e+00 -2.54284361e+06 -1.96237500e+05  1.39582212e+06  7.66652214e+07  2.71417280e+04  1.00566976e+03  1.38512733e+05
22500            -2.44870205e+06 -1.02201836e+06 -1.20416314e+05  1.37793924e+06  0.00000000e+00 -2.68420661e+06 -2.08426656e+05  1.26559799e+06  2.71942455e+07  8.77309731e+03  8.95726820e+02  1.55336480e+05
25000            -3.02418416e+06 -1.42042377e+06 -1.12321739e+05  1.35686590e+06  0.00000000e+00 -2.84830455e+06 -2.39564997e+05  1.13124486e+06  1.01531934e+07  3.20144646e+03  8.35514644e+02  1.66442340e+05
