#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.79291711e+07  1.71027099e+07 -1.04681334e+05  1.00809067e+06  0.00000000e+00 -7.69481469e+04 -2.89042484e+04  6.95273040e+05  5.03660372e+08  2.54930604e+05  8.89079463e+02  9.20560113e+04
5000              9.15830515e+06  8.33600944e+06 -1.02754407e+05  1.16570851e+06  0.00000000e+00 -2.40658402e+05 -1.03377873e+05  5.99653698e+05  2.40550128e+08  1.19806387e+05  8.72713681e+02  9.37808676e+04
7500              5.12581939e+06  4.27140943e+06 -1.00750900e+05  1.26204360e+06  0.00000000e+00 -3.06882741e+05 -1.33694517e+05  5.59732621e+05  1.52150054e+08  7.45197667e+04  8.55697503e+02  9.56460340e+04
10000             2.86536004e+06  2.04434093e+06 -9.81151731e+04  1.30515600e+06  0.00000000e+00 -3.86021724e+05 -1.69802871e+05  5.14558327e+05  9.86136063e+07  4.74871702e+04  8.33311745e+02  9.82274234e+04
12500             1.28063973e+06  4.99056621e+05 -9.36935036e+04  1.32486565e+06  0.00000000e+00 -4.49589039e+05 -2.03334265e+05  4.82381473e+05  6.29005241e+07  2.93299693e+04  7.95757623e+02  1.02860387e+05
15000             3.14254420e+05 -4.22072031e+05 -8.96822286e+04  1.32290291e+06  0.00000000e+00 -4.96894226e+05 -2.22383849e+05  4.52539131e+05  3.93853016e+07  1.78121517e+04  7.61689064e+02  1.07468822e+05
17500            -2.74879192e+05 -9.61136281e+05 -8.58188641e+04  1.31063212e+06  0.00000000e+00 -5.38556162e+05 -2.41834374e+05  4.28816814e+05  2.21682735e+07  9.73148284e+03  7.28876739e+02  1.12295205e+05
20000            -5.24435879e+05 -1.15539984e+06 -8.38871567e+04  1.29204428e+06  0.00000000e+00 -5.77193165e+05 -2.65426566e+05  4.13507022e+05  1.41291890e+07  6.16323700e+03  7.12470362e+02  1.14871026e+05
22500            -6.51690748e+05 -1.23091298e+06 -8.32242090e+04  1.27954734e+06  0.00000000e+00 -6.17100895e+05 -2.86990084e+05  3.95371240e+05  1.11890845e+07  4.90911467e+03  7.06839815e+02  1.15785993e+05
25000            -7.85581086e+05 -1.30859288e+06 -8.20601216e+04  1.26288631e+06  0.00000000e+00 -6.57814390e+05 -3.04515544e+05  3.72168740e+05  9.31515686e+06  4.12129733e+03  6.96952989e+02  1.17429489e+05
