#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.64276853e+07  1.56588787e+07 -1.03599671e+05  9.93540872e+05  0.00000000e+00 -1.21134651e+05 -5.52912139e+04  6.76246172e+05  5.03647275e+08  2.54923143e+05  8.79892680e+02  9.30253731e+04
5000              7.59481006e+06  6.80313246e+06 -1.01176816e+05  1.19380990e+06  0.00000000e+00 -3.00955487e+05 -1.26165060e+05  5.61042710e+05  2.07814104e+08  1.01157178e+05  8.59314887e+02  9.52402709e+04
7500              4.67773442e+06  3.90203944e+06 -1.00181851e+05  1.27065186e+06  0.00000000e+00 -3.94775032e+05 -1.80528858e+05  5.18391229e+05  1.34652827e+08  6.54820415e+04  8.50864452e+02  9.61890400e+04
10000             2.91036992e+06  2.16271591e+06 -9.85026467e+04  1.31309812e+06  0.00000000e+00 -4.66941464e+05 -2.27693959e+05  4.91269221e+05  9.51538584e+07  4.56079609e+04  8.36602636e+02  9.78281329e+04
12500             1.38360526e+06  6.61185226e+05 -9.50566861e+04  1.32666661e+06  0.00000000e+00 -5.09189895e+05 -2.46921853e+05  4.66397388e+05  6.64318451e+07  3.12914981e+04  8.07335404e+02  1.01380163e+05
15000             5.28893071e+05 -2.05931368e+05 -9.21568565e+04  1.34529030e+06  0.00000000e+00 -5.18309008e+05 -2.41884793e+05  4.50709039e+05  4.52219651e+07  2.08338661e+04  7.82706573e+02  1.04572608e+05
17500             1.52347304e+05 -5.50909771e+05 -9.10680877e+04  1.34258444e+06  0.00000000e+00 -5.48259280e+05 -2.54164713e+05  4.32291304e+05  3.07579505e+07  1.38991408e+04  7.73459442e+02  1.05812169e+05
20000            -1.05686267e+05 -7.52939106e+05 -9.03436553e+04  1.32875444e+06  0.00000000e+00 -5.91157942e+05 -2.76608449e+05  4.11909297e+05  2.64862563e+07  1.19771556e+04  7.67306693e+02  1.06661309e+05
22500            -2.78794219e+05 -8.99734597e+05 -8.98130896e+04  1.33558029e+06  0.00000000e+00 -6.24826824e+05 -2.95831594e+05  3.97658078e+05  2.24367972e+07  1.01275752e+04  7.62800493e+02  1.07290647e+05
25000            -4.49325815e+05 -1.02157117e+06 -8.94253159e+04  1.32448211e+06  0.00000000e+00 -6.62811438e+05 -3.24657382e+05  3.87756942e+05  1.95083659e+07  8.83223425e+03  7.59507053e+02  1.07756025e+05
