#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.07016225e+06  5.23193846e+05 -3.31976382e+04  7.11038034e+05  0.00000000e+00 -1.30871989e+05 -7.72630890e+04  2.77258051e+05  4.51993591e+07  2.32029968e+04  4.25153904e+02  9.39224498e+04
5000              2.27087907e+05 -2.38922616e+05 -3.16150307e+04  7.66349347e+05  0.00000000e+00 -2.68723794e+05 -1.87893890e+05  2.44534045e+05  1.47607581e+07  7.40966610e+03  4.04885843e+02  9.86082406e+04
7500             -7.50404879e+03 -4.40955290e+05 -3.10150473e+04  8.08263549e+05  0.00000000e+00 -3.43797260e+05 -2.46912364e+05  2.25110675e+05  6.33236445e+06  3.26668027e+03  3.97202005e+02  1.00514693e+05
10000            -1.39295052e+05 -5.34748692e+05 -3.05939965e+04  8.24829391e+05  0.00000000e+00 -3.98781755e+05 -2.89181198e+05  2.09825097e+05  2.18723899e+06  1.32730137e+03  3.91809712e+02  1.01893755e+05
12500            -2.08093361e+05 -5.73044526e+05 -3.04231624e+04  8.34878546e+05  0.00000000e+00 -4.39504219e+05 -3.20756939e+05  1.99239596e+05  9.26388264e+05  7.51686189e+02  3.89621882e+02  1.02465818e+05
15000            -2.72925296e+05 -5.88512872e+05 -3.05005485e+04  8.29954357e+05  0.00000000e+00 -4.83866232e+05 -3.58482467e+05  1.91418034e+05  4.07867210e+04  3.51956357e+02  3.90612947e+02  1.02206464e+05
17500            -3.05206457e+05 -5.88533328e+05 -3.06061852e+04  8.33026976e+05  0.00000000e+00 -5.19093919e+05 -3.89933890e+05  1.86812052e+05 -2.28487963e+04  3.24327068e+02  3.91965809e+02  1.01853821e+05
20000            -3.29124252e+05 -6.00402470e+05 -3.09926179e+04  8.45184733e+05  0.00000000e+00 -5.42913898e+05 -4.14009138e+05  1.86137860e+05  1.57920628e+05  4.10312184e+02  3.96914757e+02  1.00583984e+05
22500            -3.61132642e+05 -6.07153198e+05 -3.11915941e+04  8.39146719e+05  0.00000000e+00 -5.61934569e+05 -4.29841405e+05  1.82278583e+05  5.58744141e+04  3.67058418e+02  3.99462996e+02  9.99434572e+04
25000            -3.86120729e+05 -6.08555467e+05 -3.14802554e+04  8.42784085e+05  0.00000000e+00 -5.88869093e+05 -4.52786735e+05  1.77980838e+05  2.46849773e+05  4.59086054e+02  4.03159810e+02  9.90286258e+04
