#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.39881571e+07  8.24138893e+07 -2.01033177e+05  9.77267023e+05  0.00000000e+00  7.98034003e+05  5.82721656e+05  3.98434379e+06  2.00478171e+09  1.01304773e+06  1.49540210e+03  9.29876547e+04
5000              5.73345283e+07  5.71837844e+07 -1.96415699e+05  1.15421382e+06  0.00000000e+00 -8.07054308e+05  3.44220571e+05  2.60810526e+06  1.18814751e+09  5.81021986e+05  1.46105460e+03  9.51677154e+04
7500              4.11516798e+07  4.14037000e+07 -1.91101183e+05  1.25487632e+06  0.00000000e+00 -1.31579535e+06  1.82233434e+05  2.25556408e+06  9.06224266e+08  4.34511009e+05  1.42152213e+03  9.78214517e+04
10000             2.85187209e+07  2.90695632e+07 -1.85179688e+05  1.32122000e+06  0.00000000e+00 -1.68688260e+06  8.82655177e+04  1.97492030e+06  6.38209485e+08  2.95119638e+05  1.37747459e+03  1.00941293e+05
12500             2.06154951e+07  2.14106784e+07 -1.81103078e+05  1.38002462e+06  0.00000000e+00 -1.99410489e+06 -2.68897267e+03  1.75401870e+06  5.01531691e+08  2.27524639e+05  1.34715039e+03  1.03216196e+05
15000             1.50985840e+07  1.60712214e+07 -1.76815950e+05  1.41805477e+06  0.00000000e+00 -2.21387621e+06 -7.85907119e+04  1.60736482e+06  3.84647782e+08  1.70395643e+05  1.31526022e+03  1.05738312e+05
17500             7.40426308e+06  8.47161620e+06 -1.64923039e+05  1.41671154e+06  0.00000000e+00 -2.31914162e+06 -1.31024634e+05  1.55273655e+06  2.62131173e+08  1.10861029e+05  1.22679382e+03  1.13382268e+05
20000             3.95050511e+06  5.13927374e+06 -1.59139080e+05  1.40845392e+06  0.00000000e+00 -2.43808347e+06 -1.65331155e+05  1.46678529e+06  1.63815178e+08  6.52511649e+04  1.18376935e+03  1.17458936e+05
22500             1.71881614e+06  3.05952436e+06 -1.53642683e+05  1.41126459e+06  0.00000000e+00 -2.59833013e+06 -2.14658321e+05  1.35383304e+06  1.31150117e+08  5.12400961e+04  1.14288394e+03  1.21690036e+05
25000            -6.66487421e+05  7.55963951e+05 -1.44149397e+05  1.41159013e+06  0.00000000e+00 -2.68989210e+06 -2.39177742e+05  1.28593138e+06  8.80847795e+07  3.30556430e+04  1.07226734e+03  1.29737337e+05
