#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.33816756e+07  8.18847391e+07 -2.01564524e+05  9.77269752e+05  0.00000000e+00  7.21231302e+05  5.56236760e+05  3.93500499e+06  2.00477825e+09  1.01304794e+06  1.49935456e+03  9.27376210e+04
5000              5.68974118e+07  5.70220508e+07 -1.98733742e+05  1.17212661e+06  0.00000000e+00 -1.09803186e+06  2.65761612e+05  2.39691151e+06  1.17950404e+09  5.81562294e+05  1.47829756e+03  9.40550394e+04
7500              4.61541940e+07  4.66414604e+07 -1.96827980e+05  1.29465105e+06  0.00000000e+00 -1.58508953e+06  1.35572732e+05  2.03478675e+06  9.35616191e+08  4.55022499e+05  1.46412139e+03  9.49644216e+04
10000             3.88163773e+07  3.95441008e+07 -1.95152506e+05  1.35829015e+06  0.00000000e+00 -1.89086108e+06  4.20956310e+04  1.82004850e+06  8.15470152e+08  3.94649479e+05  1.45165823e+03  9.57799392e+04
12500             3.36963298e+07  3.45435641e+07 -1.94200672e+05  1.42271109e+06  0.00000000e+00 -2.07574472e+06 -3.15114260e+04  1.70639564e+06  6.94467955e+08  3.32808281e+05  1.44457794e+03  9.62489228e+04
15000             2.93602352e+07  3.03188695e+07 -1.93864814e+05  1.47088233e+06  0.00000000e+00 -2.23565177e+06 -8.07848030e+04  1.59284435e+06  6.27528715e+08  3.00233868e+05  1.44207962e+03  9.64156438e+04
17500             2.57011922e+07  2.67832179e+07 -1.93709122e+05  1.50769049e+06  0.00000000e+00 -2.39600704e+06 -1.20679865e+05  1.46963412e+06  5.57819503e+08  2.66706656e+05  1.44092150e+03  9.64931397e+04
20000             2.32612339e+07  2.44381180e+07 -1.93526264e+05  1.53092836e+06  0.00000000e+00 -2.51428616e+06 -1.49729350e+05  1.37846238e+06  5.10712777e+08  2.43995943e+05  1.43956129e+03  9.65843131e+04
22500             2.14226966e+07  2.26507855e+07 -1.93436966e+05  1.54012181e+06  0.00000000e+00 -2.57477380e+06 -1.72541186e+05  1.33969707e+06  4.77050464e+08  2.27777908e+05  1.43889705e+03  9.66288950e+04
25000             1.94304489e+07  2.07174381e+07 -1.93337823e+05  1.55212538e+06  0.00000000e+00 -2.64577679e+06 -1.96775563e+05  1.29179168e+06  4.43305196e+08  2.11602026e+05  1.43815956e+03  9.66784482e+04
