#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              4.16820901e+07  4.16684595e+07 -1.39822838e+05  8.24565454e+05  0.00000000e+00 -6.71112025e+05  3.89886582e+05  2.69651289e+06  1.33804387e+09  6.76136992e+05  1.36080217e+03  9.23921240e+04
5000              1.38910194e+07  1.54484407e+07 -1.35585174e+05  1.00007190e+06  0.00000000e+00 -2.42190808e+06  4.78824172e+04  1.27226086e+06  4.77263310e+08  2.35349879e+05  1.31955983e+03  9.52785004e+04
7500              6.12922256e+06  7.99570882e+06 -1.33848013e+05  1.08380474e+06  0.00000000e+00 -2.81644299e+06 -1.02072505e+05  1.02107702e+06  2.36699983e+08  1.13868235e+05  1.30265319e+03  9.65124547e+04
10000             1.46218333e+06  3.49540084e+06 -1.29234381e+05  1.09856744e+06  0.00000000e+00 -3.00255057e+06 -1.58614714e+05  8.87352929e+05  1.51448122e+08  7.17778810e+04  1.25775180e+03  9.99851359e+04
12500            -1.41198113e+06  8.10368289e+05 -1.22741291e+05  1.07784428e+06  0.00000000e+00 -3.17745241e+06 -2.31198971e+05  7.82333668e+05  7.04744071e+07  3.16580651e+04  1.19455890e+03  1.05258750e+05
15000            -2.83050321e+06 -4.32577219e+05 -1.17007426e+05  1.06038923e+06  0.00000000e+00 -3.34130779e+06 -2.71150095e+05  6.57494676e+05  4.08801911e+07  1.78168785e+04  1.13875502e+03  1.10424736e+05
17500            -3.55171404e+06 -1.06629461e+06 -1.10820648e+05  1.04447437e+06  0.00000000e+00 -3.41907314e+06 -2.98645611e+05  6.05645401e+05  2.05209547e+07  8.65775671e+03  1.07854326e+03  1.16586402e+05
20000            -3.90972310e+06 -1.38200605e+06 -1.04486979e+05  1.03427466e+06  0.00000000e+00 -3.45750474e+06 -3.10906973e+05  5.78743349e+05  8.36192739e+06  3.50102660e+03  1.01690188e+03  1.23664683e+05
22500            -4.07826799e+06 -1.48182452e+06 -1.01686943e+05  1.01763332e+06  0.00000000e+00 -3.51238984e+06 -3.35815606e+05  5.48151768e+05  1.24675064e+06  7.24698961e+02  9.89651014e+02  1.27035075e+05
25000            -4.19055171e+06 -1.49909173e+06 -1.02220139e+05  9.92133462e+05  0.00000000e+00 -3.58137329e+06 -3.69832088e+05  5.13174644e+05  6.75052482e+05  5.16614014e+02  9.94840251e+02  1.26373052e+05
