#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              8.35326405e+07  8.20176163e+07 -2.00757695e+05  9.67894190e+05  0.00000000e+00  7.47887713e+05  5.48012871e+05  3.96965143e+06  2.00477258e+09  1.01304154e+06  1.49335290e+03  9.31284693e+04
5000              5.61515092e+07  5.59939468e+07 -1.94498081e+05  1.14219414e+06  0.00000000e+00 -7.90133716e+05  2.69980760e+05  2.70005323e+06  1.16531671e+09  5.65545002e+05  1.44679024e+03  9.61078958e+04
7500              4.28669228e+07  4.31560700e+07 -1.90598197e+05  1.27101345e+06  0.00000000e+00 -1.36956246e+06  1.30159064e+05  2.25441791e+06  8.70620536e+08  4.11274474e+05  1.41778062e+03  9.80687302e+04
10000             3.14915457e+07  3.21255049e+07 -1.85258042e+05  1.33016513e+06  0.00000000e+00 -1.77886632e+06  3.29454900e+04  1.93737442e+06  7.41131702e+08  3.47027550e+05  1.37805743e+03  1.00913524e+05
12500             2.12237007e+07  2.21953814e+07 -1.78533473e+05  1.37320762e+06  0.00000000e+00 -2.16635494e+06 -7.17025621e+04  1.65045800e+06  5.10569782e+08  2.28896145e+05  1.32803616e+03  1.04708260e+05
15000             1.40432732e+07  1.52890617e+07 -1.73033158e+05  1.39899968e+06  0.00000000e+00 -2.47175505e+06 -1.34627972e+05  1.40518014e+06  3.73455540e+08  1.62096768e+05  1.28712161e+03  1.08026511e+05
17500             1.05101242e+07  1.18666315e+07 -1.70942072e+05  1.42434504e+06  0.00000000e+00 -2.60991019e+06 -1.85087139e+05  1.31617884e+06  2.92556376e+08  1.24291603e+05  1.27156690e+03  1.09345777e+05
20000             8.15146724e+06  9.64397880e+06 -1.69765278e+05  1.43513553e+06  0.00000000e+00 -2.75788181e+06 -2.24070357e+05  1.20494933e+06  2.45437953e+08  1.03130896e+05  1.26281322e+03  1.10102643e+05
22500             6.64713390e+06  8.25116430e+06 -1.69533506e+05  1.44018347e+06  0.00000000e+00 -2.87468036e+06 -2.57863406e+05  1.12058325e+06  2.16207291e+08  9.07757364e+04  1.26108916e+03  1.10253150e+05
25000             5.63915580e+06  7.29694261e+06 -1.69358436e+05  1.46041842e+06  0.00000000e+00 -2.94884679e+06 -2.95057758e+05  1.08188141e+06  1.97445485e+08  8.28475374e+04  1.25978688e+03  1.10367123e+05
