#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        VOLUME          
2500              1.25478232e+06  6.70673468e+05 -3.37646248e+04  7.25189591e+05  0.00000000e+00 -1.07316119e+05 -5.86816373e+04  2.82869255e+05  4.52014610e+07  2.32041450e+04  4.32415161e+02  9.23274420e+04
5000              4.48206774e+05 -6.52398889e+04 -3.33262425e+04  8.02474174e+05  0.00000000e+00 -2.55701268e+05 -1.65203907e+05  2.34739851e+05  2.00145227e+07  1.02796024e+04  4.26800907e+02  9.35437711e+04
7500              7.02893010e+04 -3.97231301e+05 -3.23667232e+04  8.24986261e+05  0.00000000e+00 -3.25098936e+05 -2.17367866e+05  2.14903874e+05  9.34114475e+06  4.90931928e+03  4.14512582e+02  9.63208076e+04
10000            -1.07466554e+05 -5.52504781e+05 -3.12189081e+04  8.27852353e+05  0.00000000e+00 -3.51595218e+05 -2.35233487e+05  2.04173070e+05  3.98312677e+06  2.23520540e+03  3.99812800e+02  9.98648669e+04
12500            -1.95567040e+05 -6.07634239e+05 -3.06064331e+04  8.24162386e+05  0.00000000e+00 -3.81488753e+05 -2.60824188e+05  1.98554575e+05  6.86551269e+05  6.49515282e+02  3.91968985e+02  1.01853466e+05
15000            -2.46267969e+05 -6.17434902e+05 -3.10698680e+04  8.32794450e+05  0.00000000e+00 -4.30557650e+05 -3.04034682e+05  1.91150336e+05 -1.12298656e+05  2.85391623e+02  3.97904081e+02  1.00336274e+05
17500            -2.91533082e+05 -6.29111968e+05 -3.14619225e+04  8.41825350e+05  0.00000000e+00 -4.72784542e+05 -3.39334541e+05  1.83742011e+05 -2.26205263e+04  3.33260745e+02  4.02925025e+02  9.90844490e+04
20000            -3.43111834e+05 -6.39966726e+05 -3.19016741e+04  8.28322841e+05  0.00000000e+00 -4.99566275e+05 -3.62379219e+05  1.79798647e+05 -1.23059212e+05  2.88744365e+02  4.08556814e+02  9.77197350e+04
22500            -3.77876620e+05 -6.45502029e+05 -3.22982218e+04  8.36223452e+05  0.00000000e+00 -5.36299821e+05 -3.93587300e+05  1.74550875e+05 -2.49224451e+03  3.51934050e+02  4.13635302e+02  9.65183437e+04
25000            -4.02946320e+05 -6.50937571e+05 -3.25081400e+04  8.42204659e+05  0.00000000e+00 -5.61705268e+05 -4.15941645e+05  1.70805267e+05 -7.47493195e+04  3.19178546e+02  4.16323673e+02  9.58952808e+04
