#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            2.37902632e+05 -7.75815821e+04 -1.40802874e+04  3.29564501e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217921e+07  2.73102054e+04  3.99761050e+02
1000000           7.06266154e+04 -2.76215444e+05 -1.40802874e+04  3.60922347e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.72654811e+05  4.09309408e+01  3.99761050e+02
1500000           5.25974463e+04 -2.98044036e+05 -1.40802874e+04  3.64721770e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.80857182e+05  8.72922774e+01  3.99761050e+02
2000000           3.06572172e+04 -3.06354196e+05 -1.40802874e+04  3.51091701e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.50788273e+05  1.47053430e+00  3.99761050e+02
2500000           4.54618448e+04 -3.08695696e+05 -1.40802874e+04  3.68237828e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.15632037e+05  1.92257869e+01  3.99761050e+02
3000000           2.40624110e+04 -3.16765923e+05 -1.40802874e+04  3.54908621e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.45810582e+05  3.98445976e+00  3.99761050e+02
3500000           1.42897596e+04 -3.28083004e+05 -1.40802874e+04  3.56453051e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.22578763e+05  1.57174228e+01  3.99761050e+02
4000000           1.14285524e+04 -3.26430491e+05 -1.40802874e+04  3.51939331e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.33522159e+05 -9.08171133e+01  3.99761050e+02
4500000           3.81314503e+03 -3.35127982e+05 -1.40802874e+04  3.53021415e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.39747917e+05  5.75501889e+01  3.99761050e+02
50000000         -1.19142999e+04 -3.49187509e+05 -1.40802874e+04  3.51353496e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.78723790e+05 -6.31418275e+01  3.99761050e+02
