#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            2.01273224e+05 -1.19218320e+05 -1.40802874e+04  3.34571831e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217869e+07  2.73102028e+04  3.99761050e+02
1000000           4.51266857e+04 -2.91379069e+05 -1.40802874e+04  3.50586042e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.25331963e+05  1.43269509e+01  3.99761050e+02
1500000           4.34443811e+04 -3.00892177e+05 -1.40802874e+04  3.58416845e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.60252728e+05 -3.30937991e+00  3.99761050e+02
2000000           4.15943100e+04 -3.10639551e+05 -1.40802874e+04  3.66314148e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.45546305e+05 -4.63859200e+01  3.99761050e+02
2500000           1.19524464e+04 -3.16969486e+05 -1.40802874e+04  3.43002220e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.23634509e+05  1.51842304e+01  3.99761050e+02
3000000           2.29895816e+04 -3.17116767e+05 -1.40802874e+04  3.54186636e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.98475498e+05  2.78904996e+01  3.99761050e+02
3500000           1.89655672e+04 -3.18879337e+05 -1.40802874e+04  3.51925192e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.71577424e+05 -5.95326373e+01  3.99761050e+02
4000000           2.72444302e+04 -3.06721129e+05 -1.40802874e+04  3.48045847e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.24250114e+05  1.48733262e+01  3.99761050e+02
4500000           2.23060630e+04 -3.19739959e+05 -1.40802874e+04  3.56126309e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.97743966e+05  2.82599515e+01  3.99761050e+02
50000000          1.09004201e+04 -3.26807211e+05 -1.40802874e+04  3.51787919e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.66670474e+05 -5.70544386e+01  3.99761050e+02
