#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.75985080e+05 -1.34846689e+05 -1.40802874e+04  3.24912056e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217729e+07  2.73101958e+04  3.99761050e+02
1000000           4.92938049e+04 -2.92713958e+05 -1.40802874e+04  3.56088051e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.64421390e+05 -5.59185648e+01  3.99761050e+02
1500000           3.39834837e+04 -3.04020866e+05 -1.40802874e+04  3.52084637e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.91272626e+05 -6.94794726e+01  3.99761050e+02
2000000           4.02147306e+04 -3.02780581e+05 -1.40802874e+04  3.57075599e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.98735216e+05  2.77593323e+01  3.99761050e+02
2500000           1.61412104e+04 -3.20142826e+05 -1.40802874e+04  3.50364324e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.19313524e+05  1.73664945e+01  3.99761050e+02
3000000           2.16222085e+03 -3.30829901e+05 -1.40802874e+04  3.47072410e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.52191059e+05 -4.97417766e+01  3.99761050e+02
3500000           1.52749239e+03 -3.39963747e+05 -1.40802874e+04  3.55571527e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.37858152e+05  8.00074339e+00  3.99761050e+02
4000000           7.71116586e+03 -3.45636622e+05 -1.40802874e+04  3.67428075e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.78139988e+05 -1.23431351e+01  3.99761050e+02
4500000          -2.51369185e+03 -3.51600702e+05 -1.40802874e+04  3.63167298e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.59432007e+05 -2.89488408e+00  3.99761050e+02
50000000          8.18052464e+03 -3.49163997e+05 -1.40802874e+04  3.71424809e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.06287831e+05  2.39449708e+01  3.99761050e+02
