#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.93760599e+05 -1.28684187e+05 -1.40802874e+04  3.36525074e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217924e+07  2.73102056e+04  3.99761050e+02
1000000           5.60574680e+04 -2.81349421e+05 -1.40802874e+04  3.51487177e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.69849866e+05  4.23475459e+01  3.99761050e+02
1500000           2.70217145e+04 -3.07559063e+05 -1.40802874e+04  3.48661065e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.88928317e+05 -1.77916565e+01  3.99761050e+02
2000000           1.73563813e+04 -3.25576909e+05 -1.40802874e+04  3.57013577e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.98224564e+05  2.80172308e+01  3.99761050e+02
2500000           8.46540966e+03 -3.25597824e+05 -1.40802874e+04  3.48143521e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.05415403e+04  1.58157079e+02  3.99761050e+02
3000000           9.13034816e+03 -3.26768541e+05 -1.40802874e+04  3.49979176e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.27268865e+05  6.38525907e+01  3.99761050e+02
3500000           7.58704095e+03 -3.35122433e+05 -1.40802874e+04  3.56789761e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.50537675e+05  1.59709605e+00  3.99761050e+02
4000000           1.05350407e+04 -3.30588552e+05 -1.40802874e+04  3.55203880e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.41308902e+05  6.25798134e+00  3.99761050e+02
4500000           1.01048629e+04 -3.39288621e+05 -1.40802874e+04  3.63473771e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.25690778e+05  1.41457354e+01  3.99761050e+02
50000000          1.20598179e+04 -3.38233670e+05 -1.40802874e+04  3.64373775e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.30766481e+05  6.20861602e+01  3.99761050e+02
