#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.83809822e+05 -1.33450284e+05 -1.40802874e+04  3.31340393e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217822e+07  2.73102004e+04  3.99761050e+02
1000000           5.67301456e+04 -2.84012824e+05 -1.40802874e+04  3.54823257e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.72235535e+05 -9.36115884e+00  3.99761050e+02
1500000           5.92674555e+04 -2.79446493e+05 -1.40802874e+04  3.52794236e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.37058518e+05  8.40458897e+00  3.99761050e+02
2000000           4.67971303e+04 -2.99451015e+05 -1.40802874e+04  3.60328433e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.79882286e+05 -1.32230625e+01  3.99761050e+02
2500000           3.85563302e+04 -3.09909263e+05 -1.40802874e+04  3.62545881e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.92538519e+05 -1.96149473e+01  3.99761050e+02
3000000           2.72668937e+04 -3.10601323e+05 -1.40802874e+04  3.51948504e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.14282945e+05  1.99071304e+01  3.99761050e+02
3500000           3.64682100e+04 -3.01992327e+05 -1.40802874e+04  3.52540824e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.47162892e+05  5.38053415e+01  3.99761050e+02
4000000           3.47388772e+04 -3.00688559e+05 -1.40802874e+04  3.49507724e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.08782455e+05  7.31889397e+01  3.99761050e+02
4500000           1.70128508e+04 -3.14622657e+05 -1.40802874e+04  3.45715795e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.10907944e+05 -2.88922140e+01  3.99761050e+02
50000000          2.07818031e+03 -3.26665218e+05 -1.40802874e+04  3.42823686e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.96095356e+05 -2.14112873e+01  3.99761050e+02
