#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000           2.14583834e+05 -1.16550781e+05 -1.36961674e+04  3.44830782e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.88867218e+07  2.99100576e+04  3.98607558e+02
1000000          4.98375530e+04 -3.04282118e+05 -1.36961674e+04  3.67815838e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.52834675e+05  4.23047140e+01  3.98607558e+02
1500000          4.12407421e+04 -3.04282317e+05 -1.36961674e+04  3.59219226e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.81721916e+05 -7.32921546e+01  3.98607558e+02
2000000          3.09909059e+04 -3.13129521e+05 -1.36961674e+04  3.57816595e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.98120088e+05  6.99376873e+01  3.98607558e+02
2500000          2.45264607e+04 -3.20415307e+05 -1.36961674e+04  3.58637935e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.42644442e+05 -1.04060376e+02  3.98607558e+02
3000000          3.80400111e+04 -3.15042765e+05 -1.36961674e+04  3.66778944e+05  0.00000000e+00  0.00000000e+00  000000000e+00  0.00000000e+00 -2.17036964e+05  6.03839363e+01  3.98607558e+02
3500000          2.26671461e+04 -3.21986096e+05 -1.36961674e+04  3.58349410e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.86736376e+05  2.51830497e+01  3.98607558e+02
4000000          2.69782710e+04 -3.29558280e+05 -1.36961674e+04  3.70232718e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.50663732e+05  9.39049739e+01  3.98607558e+02
4500000          1.75976427e+04 -3.26691864e+05 -1.36961674e+04  3.57985674e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.89442304e+05  2.38164520e+01  3.98607558e+02
50000000         2.96218815e+04 -3.10525282e+05 -1.36961674e+04  3.53843330e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.54795876e+05 -9.18961813e+00  3.98607558e+02
