#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.84674999e+05 -1.32236712e+05 -1.40802874e+04  3.30991998e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217922e+07  2.73102055e+04  3.99761050e+02
1000000           7.02630129e+04 -2.81397735e+05 -1.40802874e+04  3.65741035e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.71772809e+05  4.13763854e+01  3.99761050e+02
1500000           4.72997684e+04 -3.02574541e+05 -1.40802874e+04  3.63954597e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.19142669e+05  6.79566325e+01  3.99761050e+02
2000000           3.53189552e+04 -3.00430528e+05 -1.40802874e+04  3.49829771e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.56480871e+05  4.90994031e+01  3.99761050e+02
2500000           3.69313200e+04 -3.04544939e+05 -1.40802874e+04  3.55556547e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.32936356e+05 -4.00174105e+01  3.99761050e+02
3000000           2.08888459e+04 -3.18433750e+05 -1.40802874e+04  3.53402883e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.43084676e+05  5.58649975e+01  3.99761050e+02
3500000           4.48092827e+03 -3.28671079e+05 -1.40802874e+04  3.47232295e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.66121994e+05 -5.67774355e+01  3.99761050e+02
4000000           6.10858541e+03 -3.29423195e+05 -1.40802874e+04  3.49612067e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.22552922e+05  1.57304736e+01  3.99761050e+02
4500000           1.40861446e+04 -3.29603529e+05 -1.40802874e+04  3.57769961e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04381336e+05 -2.55960261e+01  3.99761050e+02
50000000          1.51775401e+04 -3.29622023e+05 -1.40802874e+04  3.58879850e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.38288811e+05 -4.27206061e+01  3.99761050e+02
