#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.64837461e+05 -1.49631339e+05 -1.40802874e+04  3.28549088e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217929e+07  2.73102058e+04  3.99761050e+02
1000000           3.63531145e+04 -3.03275803e+05 -1.40802874e+04  3.53709205e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.64826892e+05  4.48843413e+01  3.99761050e+02
1500000           3.16740297e+04 -3.08771172e+05 -1.40802874e+04  3.54525490e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22447409e+05 -3.47200883e+01  3.99761050e+02
2000000           2.06182234e+04 -3.19213081e+05 -1.40802874e+04  3.53911592e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.83099835e+05  3.56558015e+01  3.99761050e+02
2500000           1.12217324e+04 -3.35580124e+05 -1.40802874e+04  3.60882143e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.88090629e+05 -6.78724419e+01  3.99761050e+02
3000000           5.48778958e+03 -3.31034556e+05 -1.40802874e+04  3.50602633e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.02400869e+05  2.59080360e+01  3.99761050e+02
3500000           2.29028213e+02 -3.26151507e+05 -1.40802874e+04  3.40460823e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.45501636e+05  4.14048941e+00  3.99761050e+02
4000000           9.77835260e+03 -3.32156742e+05 -1.40802874e+04  3.56015382e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.06144931e+05  2.40171406e+01  3.99761050e+02
4500000           6.05937460e+03 -3.31149064e+05 -1.40802874e+04  3.51288726e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.23512263e+05  1.52459696e+01  3.99761050e+02
50000000          4.51318298e+03 -3.36843128e+05 -1.40802874e+04  3.55436598e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.09148517e+05  2.25002143e+01  3.99761050e+02
