#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.62268371e+05 -1.51381776e+05 -1.40802874e+04  3.27730435e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217884e+07  2.73102035e+04  3.99761050e+02
1000000           3.34937971e+04 -3.00937042e+05 -1.40802874e+04  3.48511126e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.10088628e+05  2.20254220e+01  3.99761050e+02
1500000           3.29693726e+04 -3.06550591e+05 -1.40802874e+04  3.53600251e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.88266730e+05 -1.74575295e+01  3.99761050e+02
2000000           1.90737470e+04 -3.25872540e+05 -1.40802874e+04  3.59026574e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.95721211e+05 -2.12223292e+01  3.99761050e+02
2500000           2.69858957e+03 -3.31109086e+05 -1.40802874e+04  3.47887963e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.87722797e+05 -1.71828222e+01  3.99761050e+02
3000000           1.75932543e+04 -3.18530740e+05 -1.40802874e+04  3.50204282e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.32862311e+05  1.11531535e+02  3.99761050e+02
3500000           1.38690781e+04 -3.19295162e+05 -1.40802874e+04  3.47244528e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.30414371e+05  6.22639893e+01  3.99761050e+02
4000000          -6.96548112e+03 -3.44135887e+05 -1.40802874e+04  3.51250693e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.60230385e+05  4.72057544e+01  3.99761050e+02
4500000          -9.10681102e+03 -3.51253415e+05 -1.40802874e+04  3.56226892e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.59841942e+05 -3.10191721e+00  3.99761050e+02
50000000         -6.03722434e+03 -3.38815509e+05 -1.40802874e+04  3.46858572e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00433906e+05 -2.36024218e+01  3.99761050e+02
