#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.98408596e+05 -1.11793717e+05 -1.40802874e+04  3.24282601e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217864e+07  2.73102025e+04  3.99761050e+02
1000000           5.75631062e+04 -2.87764965e+05 -1.40802874e+04  3.59408359e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.30196952e+05  1.18699440e+01  3.99761050e+02
1500000           3.50743664e+04 -3.03260063e+05 -1.40802874e+04  3.52414717e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.79396795e+05  3.75259791e+01  3.99761050e+02
2000000           1.95574068e+04 -3.14701299e+05 -1.40802874e+04  3.48338993e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.64151202e+05 -5.57821096e+01  3.99761050e+02
2500000           3.29495292e+04 -3.17395598e+05 -1.40802874e+04  3.64425415e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.17910391e+05  1.80751305e+01  3.99761050e+02
3000000           2.85597174e+04 -3.10153830e+05 -1.40802874e+04  3.52793835e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.35143290e+05  1.10379553e+02  3.99761050e+02
3500000           2.14230017e+04 -3.21337549e+05 -1.40802874e+04  3.56840838e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99848584e+05 -2.33068115e+01  3.99761050e+02
4000000           7.71961476e+03 -3.25153995e+05 -1.40802874e+04  3.46953897e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.59561260e+05  4.75436881e+01  3.99761050e+02
4500000          -6.60309493e+03 -3.36883926e+05 -1.40802874e+04  3.44361119e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.79188207e+05 -1.28725260e+01  3.99761050e+02
50000000         -3.59028189e+03 -3.40427820e+05 -1.40802874e+04  3.50917826e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.23954016e+05  1.50228672e+01  3.99761050e+02
