#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            3.45289952e+05 -1.65052834e+05 -2.08463178e+04  5.31189104e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.66561001e+07  2.38658469e+04  3.98765625e+02
1000000           1.56702493e+05 -4.23182882e+05 -2.08463178e+04  6.00731694e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.38838988e+04  2.65405864e+02  3.98765625e+02
1500000           1.80617381e+05 -4.27267355e+05 -2.08463178e+04  6.28731054e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.43772829e+05  1.79605413e+02  3.98765625e+02
2000000           1.83352208e+05 -4.26647754e+05 -2.08463178e+04  6.30846279e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.06030697e+05  1.98666643e+02  3.98765625e+02
2500000           1.80702814e+05 -4.30225283e+05 -2.08463178e+04  6.31774415e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.98638985e+05  1.01392042e+02  3.98765625e+02
3000000           1.83116532e+05 -4.26646288e+05 -2.08463178e+04  6.30609138e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.62238074e+05  1.19775904e+02  3.98765625e+02
3500000           1.85995903e+05 -4.24109236e+05 -2.08463178e+04  6.30951457e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.67448191e+05  1.67648444e+02  3.98765625e+02
4000000           1.94460114e+05 -4.26660949e+05 -2.08463178e+04  6.41967381e+05  0.00000000e+00 0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.61393031e+05  1.70706533e+02  3.98765625e+02
4500000           1.90255339e+05 -4.31026184e+05 -2.08463178e+04  6.42127841e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.95253883e+04  2.57506309e+02  3.98765625e+02
50000000          1.68916223e+05 -4.27485135e+05 -2.08463178e+04  6.17247676e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.07072427e+05  2.48644379e+02  3.98765625e+02
