#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            4.09370482e+05 -3.35040295e+05 -2.84534349e+04  7.72864212e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.78037994e+07  1.44565247e+04  3.99557097e+02
1000000           2.45561715e+05 -5.94455809e+05 -2.84534349e+04  8.68470959e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.09376860e+06  9.66930852e+02  3.99557097e+02
1500000           2.23464902e+05 -6.16000504e+05 -2.84534349e+04  8.67918841e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.77806022e+05  6.05342188e+02  3.99557097e+02
2000000           2.44595881e+05 -6.08339954e+05 -2.84534349e+04  8.81389270e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.01291661e+05  4.65691790e+02  3.99557097e+02
2500000           2.53388754e+05 -6.06585680e+05 -2.84534349e+04  8.88427869e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.31291329e+04  4.36317474e+02  3.99557097e+02
3000000           2.41115937e+05 -6.12251511e+05 -2.84534349e+04  8.81820882e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.59499652e+03  4.10699835e+02  3.99557097e+02
3500000           2.48947688e+05 -6.13586239e+05 -2.84534349e+04  8.90987362e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.91999968e+05  3.17568225e+02  3.99557097e+02
4000000           2.58176090e+05 -6.13528404e+05 -2.84534349e+04  9.00157929e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.05245040e+05  3.10878954e+02  3.99557097e+02
4500000           2.55313842e+05 -6.14735642e+05 -2.84534349e+04  8.98502919e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.75673595e+05  3.25813672e+02  3.99557097e+02
50000000          2.49979251e+05 -6.16405214e+05 -2.84534349e+04  8.94837900e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.78928694e+05  5.04901480e+02  3.99557097e+02
