#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.64000196e+05 -1.47125273e+05 -1.40802874e+04  3.25205756e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217807e+07  2.73101997e+04  3.99761050e+02
1000000           4.32978540e+04 -2.88542579e+05 -1.40802874e+04  3.45920721e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.86883739e+05 -1.67590657e+01  3.99761050e+02
1500000           4.82437630e+04 -2.97208798e+05 -1.40802874e+04  3.59532849e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.59709078e+05 -5.35386660e+01  3.99761050e+02
2000000           3.02442205e+04 -3.01255781e+05 -1.40802874e+04  3.45580289e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.47641343e+05  3.05985523e+00  3.99761050e+02
2500000           6.49727732e+03 -3.20087290e+05 -1.40802874e+04  3.40664855e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.48928076e+05  5.29138553e+01  3.99761050e+02
3000000           1.51983900e+04 -3.21527302e+05 -1.40802874e+04  3.50805979e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.60321873e+05 -3.34430101e+00  3.99761050e+02
3500000           1.26635274e+04 -3.29270242e+05 -1.40802874e+04  3.56014057e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.37514709e+05 -4.23296551e+01  3.99761050e+02
4000000           8.86491012e+03 -3.30065663e+05 -1.40802874e+04  3.53010861e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.51024996e+05 -4.91528702e+01  3.99761050e+02
4500000          -4.65889283e+03 -3.43233348e+05 -1.40802874e+04  3.52654743e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.24168615e+05  1.49144863e+01  3.99761050e+02
50000000          6.75060203e+03 -3.43279750e+05 -1.40802874e+04  3.64110639e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.54123142e+05  5.02901471e+01  3.99761050e+02
