#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            2.08390186e+05 -1.06769735e+05 -1.40802874e+04  3.29240209e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217821e+07  2.73102004e+04  3.99761050e+02
1000000           4.26260454e+04 -2.87634185e+05 -1.40802874e+04  3.44340518e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.73222880e+05 -9.85980623e+00  3.99761050e+02
1500000           4.25473076e+04 -2.99074943e+05 -1.40802874e+04  3.55702538e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.93024939e+05 -7.03644581e+01  3.99761050e+02
2000000           3.97496957e+04 -2.99577054e+05 -1.40802874e+04  3.53407037e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.73634159e+05 -6.05713679e+01  3.99761050e+02
2500000           3.21420209e+04 -3.04222646e+05 -1.40802874e+04  3.50444954e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.92951243e+05  3.06804609e+01  3.99761050e+02
3000000           2.27012137e+04 -3.22722389e+05 -1.40802874e+04  3.59503890e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.92945273e+05  8.11873262e+01  3.99761050e+02
3500000          -4.90002834e+03 -3.35554526e+05 -1.40802874e+04  3.44734785e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.85189417e+05  8.51043322e+01  3.99761050e+02
4000000           2.70588474e+03 -3.45123883e+05 -1.40802874e+04  3.61910055e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.00633485e+05 -7.42070669e+01  3.99761050e+02
4500000          -1.26146660e+04 -3.53452264e+05 -1.40802874e+04  3.54917885e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.93071374e+05 -7.03879096e+01  3.99761050e+02
50000000          8.59962128e+03 -3.40312310e+05 -1.40802874e+04  3.62992218e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.58019286e+05 -2.18140581e+00  3.99761050e+02
