#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.78520244e+05 -1.51608868e+05 -1.40802874e+04  3.44209399e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.37217717e+07  2.73101951e+04  3.99761050e+02
1000000           5.26967089e+04 -2.86797944e+05 -1.40802874e+04  3.53574940e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.76660092e+05 -6.20995803e+01  3.99761050e+02
1500000           5.57293010e+04 -2.93065633e+05 -1.40802874e+04  3.62875221e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.65617304e+05 -6.01869720e+00  3.99761050e+02
2000000           3.56504329e+04 -3.04752797e+05 -1.40802874e+04  3.54483517e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.71437097e+05 -8.95791706e+00  3.99761050e+02
2500000           1.98164949e+04 -3.18207877e+05 -1.40802874e+04  3.52104659e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.62213760e+05  4.62040735e+01  3.99761050e+02
3000000           9.21277217e+03 -3.30463215e+05 -1.40802874e+04  3.53756274e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.01313707e+05 -7.45506050e+01  3.99761050e+02
3500000           1.42647794e+04 -3.30215898e+05 -1.40802874e+04  3.58560965e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.83005182e+05  3.57036048e+01  3.99761050e+02
4000000           2.19617446e+03 -3.40691785e+05 -1.40802874e+04  3.56968247e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.37212201e+05  5.88308232e+01  3.99761050e+02
4500000           3.25574177e+03 -3.38785441e+05 -1.40802874e+04  3.56121470e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.57371780e+05  4.86494600e+01  3.99761050e+02
50000000          2.03335018e+02 -3.38854090e+05 -1.40802874e+04  3.53137712e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.95899204e+05 -7.18160725e+01  3.99761050e+02
