#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            4.62781164e+05 -2.93175087e+05 -2.84534349e+04  7.84409686e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.78038311e+07  1.44565407e+04  3.99557097e+02
1000000           2.32156592e+05 -5.92051701e+05 -2.84534349e+04  8.52661728e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.41062698e+06  1.12695653e+03  3.99557097e+02
1500000           2.19704480e+05 -6.15633047e+05 -2.84534349e+04  8.63790962e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.81750373e+05  5.56830387e+02  3.99557097e+02
2000000           2.41660875e+05 -6.10870136e+05 -2.84534349e+04  8.80984446e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.38400091e+04  3.82293939e+02  3.99557097e+02
2500000           2.35809769e+05 -6.13646523e+05 -2.84534349e+04  8.77909726e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.29809516e+04  4.41293021e+02  3.99557097e+02
3000000           2.61084514e+05 -6.12016403e+05 -2.84534349e+04  9.01554352e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.62338474e+05  3.32548422e+02  3.99557097e+02
3500000           2.70573096e+05 -6.07352059e+05 -2.84534349e+04  9.06378590e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.20191490e+04  4.40807274e+02  3.99557097e+02
4000000           2.27579477e+05 -6.16569451e+05 -2.84534349e+04  8.72602363e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.73345681e+05  3.26989358e+02  3.99557097e+02
4500000           2.22635282e+05 -6.15951747e+05 -2.84534349e+04  8.67040465e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.23885957e+05  3.01464573e+02  3.99557097e+02
50000000          2.06884596e+05 -6.23613085e+05 -2.84534349e+04  8.58951117e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00889347e+05  2.12071047e+02  3.99557097e+02
