#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_DENS        
500000            1.05304763e+05 -1.67477587e+05 -1.30990454e+04  2.77915379e+05  7.96601651e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.61663235e+07  2.34357679e+04  3.97963876e+02
1000000           1.85157085e+04 -2.94212349e+05 -1.30990454e+04  3.15999538e+05  9.82756459e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.98823601e+05 -3.09202756e+01  3.97963876e+02
1500000          -7.35725371e+03 -3.29600508e+05 -1.30990454e+04  3.25439358e+05  9.90294118e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.08854941e+05 -3.59864885e+01  3.97963876e+02
2000000          -1.97764846e+04 -3.50638575e+05 -1.30990454e+04  3.32733968e+05  1.12271680e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.19090814e+05 -4.11559985e+01  3.97963876e+02
2500000          -3.00453747e+04 -3.59033287e+05 -1.30990454e+04  3.32471489e+05  9.61546927e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.50554160e+05 -1.07550049e+02  3.97963876e+02
3000000          -2.90030609e+04 -3.62758239e+05 -1.30990454e+04  3.37038422e+05  9.81580182e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.47040974e+05 -1.56279605e+02  3.97963876e+02
3500000          -3.14714344e+04 -3.64811481e+05 -1.30990454e+04  3.35326762e+05  1.11123299e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.08623298e+05  1.46343500e+01  3.97963876e+02
4000000          -3.41185855e+04 -3.72936472e+05 -1.30990454e+04  3.41669166e+05  1.02477655e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22538059e+05 -9.34008397e+01  3.97963876e+02
4500000          -3.71978208e+04 -3.85369569e+05 -1.30990454e+04  3.51468856e+05  9.80193828e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.76537144e+05 -1.96647566e+01  3.97963876e+02
50000000         -4.74919574e+04 -3.84986331e+05 -1.30990454e+04  3.40892553e+05  9.70086577e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.64650975e+05 -1.36617838e+01  3.97963876e+02
